Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"Taipei, Chinese"	5392	8971	9656	10109	11490	15280	22055	21222	45435	55880	49199	46052	57728	52864	58812	95224	71617	63191	69714	74900	
"Brazil"	1011	686	879	967	1376	1775	2975	8112	12019	7674	15048	26729	34691	44500	32481	44742	55928	61789	39219	63860	
"Qatar"	0	0	14	20	4679	17055	32225	52592	64138	86519	75196	96407	111803	86327	52541	74276	67919	81971	53243	63779	
"Hong Kong, China"	2019	1627	1985	2866	3339	4866	5163	3141	8327	11752	7133	4759	5807	5682	6575	5102	33985	36664	40624	53669	
"Sweden"	3479	3569	4962	7968	11016	15947	14827	11013	16117	21414	26491	34087	33158	30408	39037	42767	32754	33170	33483	52144	
"United Arab Emirates"	1557	864	2819	3388	5581	9092	14394	13152	14114	15557	24607	10893	10515	10420	9040	13025	44932	91733	47321	45658	
"Switzerland"	5561	12933	13769	19661	36415	32206	38315	55015	78235	88861	71064	54380	43519	48948	61147	52345	32007	34333	43828	43944	
"Türkiye"	159	282	198	996	1122	2761	5565	4554	7557	10980	12772	11622	13954	10735	13842	15802	24922	23128	20377	32603	
"Russian Federation"	716	1551	2182	3837	2997	4076	5362	4959	10912	11996	10813	6919	9704	10221	22308	13141	12972	13913	14815	26764	
"Lithuania"	0	8	6	0	0	0	0	0	135	1255	2032	1995	1955	1921	1183	1290	1933	3234	27661	24535	
"Norway"	1071	918	2843	5327	5897	12896	13438	15559	18489	17819	22023	10324	17766	17736	14394	13585	15826	11848	15023	19911	
"Nepal"	931	4048	4887	9841	17051	20769	14573	10274	10620	9350	9477	11572	17080	15348	14500	16236	12046	14048	8582	18158	
"Denmark"	3990	5152	10736	13417	10324	11524	24588	22858	16410	40200	16554	19691	21526	25415	20477	25180	20849	28992	15475	16744	
"Canada"	4379	2233	6482	12037	10244	9602	13155	16032	19961	35638	38459	65973	37482	26474	24200	21516	16798	17568	18555	16585	
"Argentina"	1045	237	206	270	461	1134	1055	528	399	723	2783	2286	3242	4408	2908	2853	13936	13471	13409	16080	
"Bangladesh"	0	0	0	1	50	0	1	2	1	5	153	0	0	620	2658	3757	5033	7617	7610	15116	
"Finland"	1089	1031	908	1421	1401	929	918	4287	8446	5898	3789	6422	7119	8616	6612	7361	9615	14290	13533	14825	
"Kuwait"	0	1	0	0	0	542	251	290	3982	6447	5121	8812	9709	5039	2278	5750	1967	1593	6333	14316	
"Greece"	200	329	496	2344	2520	1046	1210	2058	2086	4160	3810	2613	2143	2692	3293	4014	6518	5751	7728	13031	
"Poland"	200	387	2084	1103	464	356	417	449	5567	2203	2414	5114	11236	11984	20415	26879	13718	9429	13316	11078	
"Australia"	2576	5677	2671	3192	6095	13745	10539	9138	9420	13190	10101	7111	4377	5310	5635	4671	8120	6794	10272	11047	
"Slovenia"	2797	642	109	118	89	54	1	3	36	578	431	287	268	1168	709	1067	7838	9300	5002	10657	
"Ireland"	680	439	767	1453	1070	1233	1819	2234	5168	4279	4840	5298	6496	5904	7083	6909	10138	10374	9305	10654	
"Sri Lanka"	180	104	157	2438	2868	4649	2218	1678	1720	2026	3360	1838	1948	3846	4164	5569	8561	10399	6428	8586	
"Philippines"	1625	1115	2245	1912	298	2183	4200	533	857	3415	852	153	380	516	794	869	3567	4611	5409	7036	
"Jordan"	6	5	18	0	117	410	232	852	779	1027	92	211	188	7	35	49	101	238	722	6531	
"Austria"	1207	2350	2878	2629	3455	6527	10911	4667	8005	12889	13576	13607	19582	16828	15659	13400	8508	2978	12489	6044	
"Oman"	77	40	33	46	70	488	443	85	1270	562	850	599	559	723	599	688	12815	9351	5270	5429	
"South Africa"	1053	1679	2453	6991	3917	6835	7600	9792	7058	8482	12736	12222	11828	13193	10639	11830	12199	9460	3423	4771	
"Portugal"	84	152	201	479	426	513	626	317	811	787	1166	2311	4129	1272	2012	3486	4961	3259	3387	4317	
"Hungary"	120	36	11	105	226	239	441	1184	2307	1711	1032	518	729	871	807	1028	1173	2064	2495	4181	
"Egypt"	116	41	125	226	121	55	738	6343	1560	5593	3055	493	501	7141	8861	7795	6907	9666	5044	3668	
"Mexico"	823	1967	177	1598	445	885	2773	1442	1573	2981	2783	5316	4879	4651	3684	6359	4965	4443	2640	3284	
"Czech Republic"	2404	459	866	462	405	2459	795	1096	1501	2033	4361	2010	2403	2146	3144	3896	2194	2613	2186	3136	
"Papua New Guinea"	0	0	0	0	0	0	0	0	0	8	43	288	295	257	673	390	59	0	93	2869	
"Iraq"	0	0	0	0	305	0	0	0	0	38	28	0	0	0	0	41	100	178	1225	2851	
"Ukraine"	3446	947	490	36	227	863	17	33	397	323	1161	580	160	664	894	2333	1773	1701	2045	1736	
"Area Nes"	955	2354	1355	643	1324	2553	2471	25320	3967	9507	1581	2121	969	809	157	5389	1578	1323	588	1188	
"Bahrain"	1	5	43	10	13	87	38	25	31	235	261	1	6	0	67	6	44	342	310	1047	
"Iran, Islamic Republic of"	57	203	6891	2614	16059	16157	25801	27755	30451	67053	27956	66365	45137	57017	50691	45886	18633	14338	1780	976	
"Slovakia"	954	1153	1169	1304	1264	379	66	39	85	625	615	389	932	966	2501	4768	2054	306	337	885	
"Sierra Leone"	0	22	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	762	
"Venezuela, Bolivarian Republic of"	0	0	0	0	0	0	0	0	1	0	0	0	43	48	28	0	0	25	9	419	
"Belarus"	0	0	0	0	4	0	1	0	26	0	69	22	0	0	2	3	196	524	58	343	
"Romania"	18	0	86	5	125	16	12	46	19	416	492	100	77	1142	1571	1912	1280	97	191	335	
"Luxembourg"	0	2	6	3	1	0	37	0	69	49	55	18	78	159	233	312	555	567	288	319	
"New Zealand"	167	56	50	112	59	201	174	191	579	689	1714	479	245	134	220	290	708	466	173	232	
"Morocco"	1	0	0	5	29	0	0	35	86	118	63	321	128	38	84	42	181	112	37	151	
"Bhutan"	0	8	23	0	0	0	101	56	83	6	496	0	0	0	29	11	20	101	66	134	
"Bulgaria"	11	0	0	2	9	0	70	9	0	208	61	21	135	73	501	776	325	144	74	132	
"Algeria"	0	0	0	0	0	0	0	0	0	37	41	0	0	0	78	0	0	23	3	129	
"Brunei Darussalam"	0	0	196	0	0	0	52	5	0	0	13	0	0	0	0	218	765	63	162	129	
"Korea, Democratic People's Republic of"	35	0	0	15	2238	1477	477	36	945	86	0	341	5564	1116	471	934	95	1642	32	125	
"Seychelles"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	234	0	0	23	269	118	
"Senegal"	4	0	0	35	0	5	0	0	48	13	42	0	0	0	0	0	3	0	0	110	
"Uruguay"	0	0	0	0	3	35	909	630	992	256	438	178	314	304	333	232	163	203	225	109	
"Tunisia"	0	10	0	0	0	0	0	0	0	31	26	0	0	0	18	1	0	43	16	100	
"Honduras"	0	0	0	0	0	0	0	0	0	20	24	0	2	79	76	0	31	165	66	95	
"Nigeria"	49	121	1	0	0	0	0	0	42	351	368	0	0	0	0	51	80	0	112	93	
"Chile"	6	18	0	147	184	0	243	94	331	1163	429	227	630	135	62	41	49	44	377	86	
"Tanzania, United Republic of"	0	0	0	0	0	63	0	0	226	87	4	0	0	0	0	0	0	589	202	76	
"Estonia"	0	0	0	0	12	7	0	0	3	181	25	5	22	8	26	145	185	17	67	54	
"Kenya"	0	12	29	65	0	6	0	20	3	197	683	0	40	45	79	27	374	506	25	54	
"Macao, China"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	51	
"Ghana"	0	0	0	0	0	0	0	0	0	104	657	5	0	0	0	0	0	0	123	50	
"Cameroon"	0	25	0	0	0	0	0	0	50	0	0	0	0	4	0	0	0	0	0	47	
"Malta"	0	224	0	0	4	0	18	0	2	21	1	6	0	44	4	10	39	46	12	47	
"Colombia"	0	7	0	0	4	0	0	2	42	57	49	68	7	105	127	168	96	1910	2445	46	
"Sudan"	0	0	0	0	0	0	0	0	0	0	369	0	0	0	1	0	21	0	0	45	
"Guatemala"	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	5	0	0	0	40	
"Curaçao"	0	0	0	0	0	0	0	0	0	205	62	118	344	338	1118	162	85	18	153	38	
"Latvia"	0	0	0	0	6	0	1	3	11	51	32	11	5	79	74	104	1206	733	430	35	
"Croatia"	0	0	0	0	0	0	0	0	0	93	0	0	0	0	99	79	99	18	1	30	
"Eswatini"	159	354	0	0	95	34	234	148	137	676	332	506	1003	90	118	196	33	375	97	26	
"Chad"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	
"Barbados"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	43	0	17	
"French Southern and Antarctic Territories"	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	
"Peru"	8	0	0	14	0	0	0	0	12	124	25	23	0	0	37	12	21	0	1	6	
"Libya, State of"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
"Mauritius"	0	0	0	0	18	122	643	588	372	360	34	4	2	1	0	0	44	3	1	4	
"Serbia"	0	0	0	0	0	0	0	0	0	0	0	0	8	1	11	57	70	0	0	4	
"Namibia"	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	3	3	
"Malawi"	0	0	0	0	0	0	0	0	0	27	30	0	0	0	52	0	0	0	0	2	
"Maldives"	0	0	0	0	0	0	117	0	0	0	1	0	0	0	0	0	0	0	8	2	
"Cambodia"	0	0	0	0	0	0	0	139	76	34	113	0	0	0	0	0	275	284	0	0	
"Costa Rica"	0	0	0	0	0	0	0	0	2	179	174	0	14	0	1	0	3	5	156	0	
"Cyprus"	0	0	0	2	5	0	0	16	20	110	0	3	0	1	0	32	0	405	7	0	
"Iceland"	97	291	0	0	20	62	377	2	157	65	10	0	0	2	14	1	13	1	0	0	
"Kazakhstan"	0	0	0	0	0	0	15	0	697	609	0	9	20	10	0	0	1	0	0	0	
"Moldova, Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
"Yemen"	0	0	0	5	0	0	17	23	7	17	0	0	0	0	0	0	0	0	1	0	
"Zambia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"British Virgin Islands"	0	0	0	0	0	0	12	0	0	0	52	0	6	0	0	0	76	263	128		
"Nauru"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Norfolk Island"	0	0	32	0	0	0	0	0	54	0	69	0	24	0	0	0	15	153	0		
"Marshall Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	23	0	9		
"Saint Pierre and Miquelon"	0	0	0	64	17	24	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Somalia"	31	32	6	14	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0		
"Turkmenistan"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	11	0	0		
"United States Minor Outlying Islands"	0	0	0	0	0	0	0	0	0	0	0	0	5	0	24	95	7	2	0		
"Wallis and Futuna Islands"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Afghanistan"	70	1	0	0	0	293	0	0	14	2	10	0	0	0	2	0	0	0	2		
"Angola"	0	0	0	0	0	0	0	0	0	13	0	0	0	0	4	0	0	0	0		
"Azerbaijan"	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	5	0		
"Bahamas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	69	0	0		
"Armenia"	18	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		
"Bolivia, Plurinational State of"	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0		
"Bosnia and Herzegovina"	0	0	10	0	0	0	0	0	0	172	0	0	0	0	0	47	34	0	0		
"Botswana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Belize"	0	0	0	0	0	27	0	0	21	0	0	0	0	0	0	0	0	0	0		
"Solomon Islands"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Myanmar"	431	10	0	0	0	0	0	0	0	972	810	0	0	19	0	0	95	0	0		
"Burundi"	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0		
"Comoros"	0	0	0	0	0	0	0	0	24	16	0	0	0	0	0	5	0	1	0		
"Congo"	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0		
"Congo, Democratic Republic of the"	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	1	6		
"Cuba"	1	0	0	0	0	0	0	1	1	0	3	0	0	0	1	0	256	0	0		
"Benin"	0	0	0	0	0	0	0	0	0	32	1	0	0	0	0	0	0	0	0		
"Dominica"	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0		
"Dominican Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0		
"Ecuador"	0	75	312	586	1093	857	383	0	5	2	0	16	0	0	0	0	0	0	70		
"Ethiopia"	0	0	0	0	0	0	0	0	0	176	52	0	0	0	0	1	0	7	0		
"Eritrea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Fiji"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		
"Gabon"	0	0	0	5	0	0	0	0	0	0	14	871	0	0	0	0	0	0	0		
"Georgia"	9	0	6	69	1	1	15	4	4	131	79	25	104	9	19	109	275	46	74		
"Gambia"	24	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Grenada"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0		
"Guinea"	0	150	31	0	0	0	0	0	0	0	9	0	6	0	1	0	16	0	0		
"Haiti"	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	9	0		
"Côte d'Ivoire"	0	0	0	0	0	0	0	124	186	70	226	0	0	0	0	0	0	95	0		
"Jamaica"	0	0	0	4	0	0	53	0	54	8	2	0	0	25	0	17	0	0	0		
"Kyrgyzstan"	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	8	0		
"Lao People's Democratic Republic"	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0		
"Lebanon"	0	0	0	0	0	0	0	0	5	12	96	0	3	0	15	8	0	8	144		
"Lesotho"	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0		
"Liberia"	0	0	0	0	0	0	0	0	11	39	186	0	0	0	0	0	0	0	0		
"Madagascar"	0	0	0	0	0	0	0	0	0	106	70	0	0	0	0	0	0	0	0		
"Mali"	0	245	0	0	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
"Mauritania"	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0		
"Mongolia"	0	0	0	0	0	0	15	0	0	4	1	0	0	0	0	0	0	0	0		
"Montserrat"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
"Mozambique"	0	0	0	0	0	0	24	0	0	69	46	0	25	49	0	0	30	3	2		
"Netherlands Antilles"	0	0	0	0	0	6	21	43	72	0	0	0	0	0	0	0	0	0	0		
"New Caledonia"	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0		
"Niger"	1	0	0	1	7	0	1	0	0	0	1	0	0	0	0	0	0	0	0		
"Palau"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0		
"Pakistan"	16	30	9	12	143	38	65	8	158	362	588	405	158	44	19	48	427	256	0		
"Panama"	0	13	0	0	0	0	0	0	3	709	1	0	4	0	0	2	0	1	0		
"Paraguay"	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0		
"Timor-Leste"	0	0	0	0	11	0	0	0	0	767	0	0	0	0	0	0	0	0	0		
"Anguilla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0		
"Saint Lucia"	0	0	0	0	0	0	0	0	0	43	0	0	2	0	0	0	0	0	0		
"Zimbabwe"	8	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0		
"Sudan (before 2012)"	0	26	4	2	47	0	17	0	0	95	0	0	0	0	0	0	0	0	0		
"Suriname"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
"Syrian Arab Republic"	10	0	0	0	0	0	457	0	0	86	0	0	0	0	0	0	0	0	0		
"Trinidad and Tobago"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4		
"Uganda"	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	1	322	0	75		
"Macedonia, North"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	56	2		
"Burkina Faso"	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Uzbekistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
"Serbia and Montenegro"	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
