Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Germany's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Germany (%)	
"United Arab Emirates"	81718	985324	0	-4	1	50	0.07	2	5389	0.07	1.4	
"Egypt"	79848	192912	0	7	42	48	0.07	13	3134	0.06	0	
"Belarus"	76836	-44407	0	48	15	75	0	14	1760	0.11	1.4	
"Australia"	65548	778739	0	5	-9	43	0.1	3	8725	0.12	1.4	
"Luxembourg"	62728	337705	0	-3	-10	60	0.02	-2	1400	0.1	0	
"Moldova, Republic of"	62611	-18871	0	23	-25	65	0.02	-1	689	0.37	0	
"Latvia"	57926	178989	0	-12	-28	52	0.06	9	1874	0.11	0	
"Costa Rica"	57046	-40997	0	11	69	64	0.02	8	3422	0.21	0	
"Bosnia and Herzegovina"	49299	19282	0	-2	52	62	0.02	16	586	0.22	0	
"Sri Lanka"	44688	-17097	0	6	-10	70	0.01	7	6556	0.08	0	
"South Africa"	26334	1048975	0	-5	-6	54	0.05	0	4202	0.05	0	
"New Zealand"	19548	97549	0	11	-8	63	0.02	4	9773	0.17	1.4	
"Albania"	13315	18632	0	21	-4	76	0	30	1087	0.34	0	
"El Salvador"	13076	-3451	0	-20	-71	68	0.01	80	2586	0.59	0	
"Kazakhstan"	12354	166888	0	47	104	91	0	13	2044	0.19	1.4	
"Lao People's Democratic Republic"	11675	-4378	0	81	99	69	0.01	-15	6003	0.2	0	
"Dominican Republic"	10676	9412	0	26	12	58	0.03	5	3868	0.77	0	
"Myanmar"	9588	23947	0	29	67	79	0	5	5168	0.14	0	
"Cambodia"	5171	-1660	0	4	0	53	0.06	40	9995	0.44	0	
"Saudi Arabia"	3837	493221	0	9	0	81	0	-4	4412	0.1	1.4	
"Papua New Guinea"	3649	-2973	0		206	127	0	0	10142	0.23	0	
"Cyprus"	3280	81848	0	-6	-66	80	0	-8	4957	0.28	0	
"Honduras"	2816	21621	0	11	52	57	0.04	17	2642	0.55	0	
"Bangladesh"	2011	89773	0	89	-68	103	0	-4	6622	0.16	0	
"Chile"	1823	215465	0	35	53	67	0.01	14	6407	0.2	0	
"Algeria"	1764	37303	0	25	379	114	0	-11	4961	0.16	0	
"Pakistan"	1480	80875	0	29	-56	104	0	18	7409	0.14	0	
"Nigeria"	1389	84702	0	39	219	126	0	36	4978	0.24	0.4	
"Argentina"	1283	203160	0	10	8	94	0	-6	2806	0.2	1.4	
"Jordan"	1277	30858	0	0	839	74	0	-3	1944	0.23	0	
"Solomon Islands"	1276	-1252	0	230	26	180	0	50	13663	0.75	0	
"Georgia"	1247	21516	0	66	-88	100	0	4	2679	0.11	0	
"Madagascar"	1068	1535	0	164	309	154	0	-20	5915	0.32	0	
"Greenland"	1051	920	0		120	155	0	131	3588	0.25	0	
"Iceland"	1033	51345	0	3	9	97	0	3	2001	0.33	0	
"Ghana"	1028	18882	0	58	1154	123	0	-14	3255	0.16	0	
"Tanzania, United Republic of"	972	6839	0		423	128	0	9	3182	0.16	0	
"Belize"	943	-726	0		925	199	0	9	3354	0.84	0	
"Oman"	919	54534	0	13	271	96	0	4	6347	0.12	1.4	
"Montenegro"	774	7184	0	43	-80	132	0	19	3349	0.15	0	
"Micronesia, Federated States of"	663	-663	0			185	0	76	12076	0.35	0.4	
"Macao, China"	591	2384	0	-8	6	77	0	-4		0.47	1.4	
"Côte d'Ivoire"	590	9786	0	255	6456	117	0	5	3760	0.1	0	
"Cameroon"	564	9800	0	163	266	121	0	8	5832	0.11	0	
"Lebanon"	527	24305	0	9	111	86	0	16	3641	0.11	0	
"Colombia"	526	110507	0	-1	-4	73	0	-7	3481	0.15	0	
"Andorra"	517	3378	0		358	105	0	8	1323	0.33	0	
"Qatar"	515	118723	0	-14	-65	106	0	2	5536	0.1	1.4	
"Uganda"	496	4574	0	129	12300	160	0	-21	5095	0.09	0	
"Mali"	492	9513	0	174	119	118	0	17	9286	0.46	0	
"Ecuador"	487	26327	0	22	343	72	0	29	8402	0.19	0	
"Uruguay"	420	31204	0	15	180	92	0	5	1667	0.54	1.4	
"Nicaragua"	417	12058	0	1	1	61	0.02	8	1968	0.77	0	
"Guatemala"	416	15455	0	59	2871	90	0	-1	2892	0.14	0	
"Iran, Islamic Republic of"	408	82425	0	-15	-23	111	0	0	7337	0.15	1.4	
"Panama"	400	31473	0	50	245	87	0	-15	3320	0.15	0	
"Kuwait"	383	77846	0	-3	-29	113	0	1	4580	0.22	1.4	
"Malawi"	351	304	0	187	219	131	0	11	3006	0.18	0	
"Bahrain"	320	30782	0	10	103	109	0	6	5895	0.28	1.4	
"Afghanistan"	311	713	0	51	202	151	0	4	9966	0.27	0	
"Kenya"	309	19715	0	4	112	95	0	-6	1094	0.17	0	
"Tajikistan"	286	2522	0	139	78	157	0	39	11319	0.56	0.4	
"Mozambique"	279	5474	0	-61	1229	141	0	-38	4044	0.21	0	
"Saint Kitts and Nevis"	276	-249	0	0	-1	116	0	-13	3988	0.7	0	
"Sierra Leone"	265	815	0	214	314	122	0	4	7329	0.17	0	
"Lesotho"	261	-121	0	4	-3	102	0	-1	3658	0.57	0	
"Turkmenistan"	243	16655	0	106	8000	174	0	-28	3590	0.21	1.4	
"Botswana"	239	53360	0	40	96	82	0	1	594	0.97	0	
"Uzbekistan"	236	68286	0	22	64	78	0	16	2179	0.22	0.4	
"Azerbaijan"	193	19732	0	249	-26	107	0	4	2008	0.1	1.4	
"Benin"	169	3567	0		428	181	0	-25	3709	0.15	0	
"Sudan"	160	12861	0		1500	184	0	2		0.24		
"Zimbabwe"	160	1990	0	38	23	130	0	3	1315	0.4	0	
"Armenia"	158	35860	0	30	243	66	0.01	96	2023	0.84	0	
"Barbados"	157	737	0	-9	-78	124	0	-6	3330	0.27	0	
"Tuvalu"	157	-157	0			206	0	0	14783	0.26	0	
"Zambia"	155	4562	0	126	546	99	0	9	1740	0.18	0	
"Peru"	149	69963	0	-22	-30	84	0	6	4242	0.14	0	
"Northern Mariana Islands"	141	472	0		341	203	0	48	8082	0.27	1.4	
"Mauritius"	126	5764	0	-19	77	150	0	-42	4821	0.2	0	
"Namibia"	124	6673	0	20	1	110	0	-44	12159	0.61	0	
"Togo"	122	2342	0		369	134	0	41	1833	0.13	0	
"Suriname"	117	1467	0		14	83	0	74	2432	0.46	0	
"Bahamas"	100	3206	0	31	900	187	0	-20	5752	0.18	0	
"Haiti"	99	774	0	10	-5	146	0	32	4547	0.39	0	
"Antigua and Barbuda"	99	156	0	65	371	192	0	19	4839	0.15	0	
"Senegal"	96	22732	0	22	-8	88	0	30	2234	0.4	0	
"Brunei Darussalam"	93	2881	0	-22	-32	112	0	12	9484	0.32	1.4	
"Nepal"	77	2042	0	-43	-68	163	0	8	5616	0.44	0	
"Eswatini"	76	150	0	18	13	129	0	5	11515	0.21	0	
"Niger"	71	950	0	47	1	145	0	-11	5742	0.26	0	
"Kyrgyzstan"	65	21216	0	-23	150	85	0	64	2347	0.46	0	
"Dominica"	64	16	0		205	161	0	11	3925	0.33	0	
"Maldives"	61	1637	0	-10	239	207	0	0	2137	0.81	1.4	
"French Polynesia"	60	2435	0	51	329	156	0	11	13459	0.47	0	
"French Southern and Antarctic Territories"	59	314	0		392	183	0	-13		0.16	0	
"Turks and Caicos Islands"	59	-59	0		0	188	0	2	10245	0.16	0	
"Faroe Islands"	55	8379	0	8	-17	159	0	36	2028	0.23	0	
"Iraq"	51	151656	0	-14	-28	138	0	10	3605	0.35	1.4	
"Ethiopia"	51	7336	0	-20	292	143	0	-38	4357	0.11	0	
"Congo"	50	4905	0	13	900	178	0	-25	7563	0.11	0.4	
"Gabon"	48	2506	0		586	162	0	-8	8577	0.24	1.4	
"Trinidad and Tobago"	47	6721	0	-2	-13	93	0	-26	1357	0.7	0	
"Cuba"	46	4512	0	101	-38	175	0	-4	8174	0.23	1.4	
"Samoa"	44	-30	0			135	0	23	8291	0.16	0	
"Venezuela, Bolivarian Republic of"	42	12685	0	9	-69	89	0	17	4396	0.62	1.4	
"Jamaica"	41	2234	0	-13	-60	140	0	-1	7683	0.16	0	
"New Caledonia"	40	3627	0		-22	153	0	-13	10346	0.1	0	
"Cayman Islands"	39	524	0	-40		119	0	12	5473	0.3	0	
"Saint Lucia"	38	204	0	23	0	158	0	-17	4724	0.67	0	
"Timor-Leste"	36	400	0		260	166	0		6598	0.48	0	
"Gambia"	35	737	0	124	-70	173	0	30	2782	0.44	0	
"Bolivia, Plurinational State of"	31	11774	0	63	-91	136	0	20	5607	0.22	0	
"Mongolia"	31	7281	0	38	-44	147	0	15	3944	0.32	0	
"Montserrat"	31	-13	0			195	0	16		0.26	0	
"Niue"	30	-30	0		100	177	0	43	10210	0.81	0.4	
"United States Minor Outlying Islands"	25	1592	0		0	139	0	-32		0.27	1.4	
"Bermuda"	25	190	0		400	170	0	8	2262	0.87	0	
"Angola"	24	10722	0	-3	-64	164	0	-33	6046	0.07	0	
"Eritrea"	20	384	0	63	567	218	0	-10	9795	0.23	0	
"Libya, State of"	19	24508	0	24	-5	179	0	-7	2559	0.25	1.4	
"British Virgin Islands"	18	541	0			167	0	-31	6138	0.2	0	
"Congo, Democratic Republic of the"	16	5837	0	50	-61	133	0	31	5607	0.29	0	
"Seychelles"	14	1161	0	9	133	165	0	-4	10475	0.13	0	
"Wallis and Futuna Islands"	14	-7	0			222	0	-16	13042	0.19	0	
"Bhutan"	13	450	0	45		189	0	34	11082	0.36	0	
"Aruba"	13	406	0		18	149	0	30	5292	0.53	0	
"Marshall Islands"	13	63	0			194	0	-8	12117	0.21	1.4	
"Anguilla"	12	74	0		200	193	0	-4	6375	0.72	0	
"South Sudan"	11	565	0			216	0	29		0.33		
"Christmas Island"	11	-11	0			172	0	62		0.35	1.4	
"Comoros"	10	61	0			211	0	12	10851	0.25	0	
"Rwanda"	9	8336	0	76	-92	148	0	-15	1722	0.23	0	
"Central African Republic"	7	1612	0		-56	137	0	2	1009	0.87	0	
"Liberia"	7	646	0	27	-76	221	0	-56	5388	0.37	0	
"Chad"	7	497	0		-22	202	0	-30	7636	0.16	0	
"Gibraltar"	6	2366	0	22	20	209	0	-6	2008	0.29	1.4	
"Kiribati"	6	8	0			215	0	30	10368	0.23	0	
"Tokelau"	6	7	0			200	0	-40	12834	0.09	1.4	
"Paraguay"	5	22533	0	-39	-85	71	0	21	1617	0.53	1.4	
"Somalia"	4	1841	0	-55		196	0	-41	6010	0.37	0	
"Grenada"	4	479	0	-8		191	0	-25	2867	0.23	0	
"Sint Maarten (Dutch part)"	4	312	0		-67	205	0	10		0.47		
"Burkina Faso"	3	3677	0		-86	144	0	-8	1740	0.16	0	
"Djibouti"	3	755	0			197	0	-10	4694	0.18	0	
"Mauritania"	2	3895	0		-98	152	0	-33	3417	0.33	0	
"Guinea"	2	2491	0		0	171	0	26	6052	0.16	0	
"Cabo Verde"	2	1169	0		-83	227	0	2			0	
"Curaçao"	2	1095	0	-5	-80	142	0	7		0.36		
"Syrian Arab Republic"	2	810	0	-46		208	0	-17	1661	0.39	0	
"Falkland Islands (Malvinas)"	2	14	0			201	0	-6	13323	0.58	0	
"Cook Islands"	2	4	0			213	0	-17	10906	0.27	0.4	
"British Indian Ocean Territory"	2	-2	0			217	0	-15		0.21	0	
"Burundi"	1	741	0	-24		182	0	14	1803	0.2	0	
"Fiji"	1	279	0			115	0	-23	3016	0.14	0	
"Sao Tome and Principe"	1	13	0			225	0	-43	4027	0.67	0	
"Western Sahara"	1	0	0			224	0	-17	3775	0.6	1.4	
"Ship stores and bunkers"		16534				101	0	-14		1		
"Yemen"		5034				212	0	-65	9789	0.32	0	
"Palestine, State of"		4969				186	0	73	9094	0.7	0	
"Guyana"		1620				168	0	-43	4135	0.22	0	
"Saint Vincent and the Grenadines"		504				198	0	-6	2376	0.21	0	
"Equatorial Guinea"		174				98	0	136	2816	0.99	0	
"Palau"		133				220	0	-40	4727	0.41	1.4	
"Nauru"		59				169	0	2	11377	0.55	0.4	
"Guinea-Bissau"		43				214	0	45	5333	0.36	0	
"Vanuatu"		29				190	0	11	12462	0.21	0	
"Area Nes"		19										
"Tonga"		14				204	0	-17	10902	0.18	0.4	
"Saint Pierre and Miquelon"		10				226	0	-44	4584	0.22	0	
"Pitcairn"		2				120	0	175		0.88	0	
"Free Zones"						108	0	-37		0.58		
"Korea, Democratic People's Republic of"						125	0	10	9896	0.3	1.4	
"Saint Helena"						176	0	11	9050	0.21	0	
"Cocos (Keeling) Islands"						210	0	4		0.4	1.4	
"Bonaire, Sint Eustatius and Saba"						219	0	26		0.46		
"Norfolk Island"						223	0	-6	16691	0.4	1.4	
