Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"Namibia"	2	-2	0		-55	157	0	-36	3524	0.29	13.4	
"Mauritania"		8329				123	0	-57	2943	0.31	12.5	
"Chile"		3237				17	0.9	-2	12445	0.22	0	
"Venezuela, Bolivarian Republic of"		1206				112	0	28	8876	0.43	0	
"Peru"		1087				66	0	12	2987	0.15	0	
"Pakistan"		1058				76	0	107	6955	0.44	13	
"Mozambique"		850				87	0	2	2039	0.4	13.4	
"Colombia"		761				72	0	13	3436	0.42	0	
"Côte d'Ivoire"		538				67	0	-3	2078	0.33	12.5	
"Norway"		449				42	0.1	1	3188	0.12	13.4	
"Panama"		436				74	0	7	7908	0.14	9.6	
"Bolivia, Plurinational State of"		404				115	0		6602	0.78	0	
"Egypt"		295				147	0	12	1649	0.32	13	
"Dominican Republic"		158				107	0	-34	3362	0.59	13.4	
"Kazakhstan"		120				34	0.3	16	1948	0.95	13.4	
"Guyana"		87				5	4.7	50	670	0.62	12.5	
"Uzbekistan"		61				65	0.01	-16	726	0.93	13	
"United Arab Emirates"		32				53	0.03	16	6643	0.08	13	
"Morocco"		30				89	0	-6	2020	0.48	13	
"Russian Federation"		23				22	0.6	9	3038	0.14	13.4	
"Liberia"		15				173	0	-21	4762	0.59	12.4	
"Ecuador"		7				84	0	64	6706	0.12	0	
"Honduras"		7				121	0	12	1732	0.83	13.4	
"Costa Rica"		6				75	0	6	3856	0.17	13.4	
"Guatemala"		6				86	0	3	2314	0.2	13.4	
"Nicaragua"		2				60	0.02	385	3157	1	13.4	
"Congo"		2				100	0	-21	10300	0.92	12.9	
"Slovakia"						15	1.5	7	648	0.16	13.4	
"Serbia"						23	0.6	41	956	0.4	13.4	
"Croatia"						25	0.5	27	582	0.24	13.4	
"Ukraine"						31	0.3	-16	1876	0.07	13.4	
"Belarus"						38	0.2	2	1715	0.47	13.4	
"Ireland"						45	0.08	19	4036	0.39	13.4	
"Estonia"						46	0.07	-2	771	0.18	13.4	
"Lithuania"						51	0.03	-10	1155	0.13	13.4	
"Suriname"						52	0.03	45	5953	0.39	12.5	
"Bosnia and Herzegovina"						57	0.02	15	872	0.22	13.4	
"Myanmar"						58	0.02	160	10140	0.39	13.3	
"Trinidad and Tobago"						59	0.02	-39	2684	0.47	12.5	
"Cameroon"						61	0.01	443	4580	0.8	12.9	
"New Zealand"						64	0.01	-15	3773	0.58	13.4	
"Kyrgyzstan"						68	0	56	1544	0.38	13.4	
"Madagascar"						70	0	18	5793	0.29	13.4	
"Cyprus"						71	0	78	943	0.71	13.4	
"Greece"						73	0	12	2420	0.32	13.4	
"Niger"						77	0	30	2923	0.49	12.5	
"Qatar"						78	0	-27	9607	0.53	13	
"Moldova, Republic of"						79	0	34	1366	0.76	13.4	
"Azerbaijan"						80	0	-14	2296	0.24	13.4	
"Saudi Arabia"						81	0	-2	4239	0.3	13	
"Algeria"						82	0	-1	5024	0.43	13	
"Rwanda"						83	0	209	1479	0.98	13.4	
"Sri Lanka"						85	0	4	7833	0.95	13	
"Malawi"						90	0	47	3761	0.5	13.4	
"Georgia"						91	0	-43	1551	0.25	13.4	
"Papua New Guinea"						92	0	26	3136	0.64	14	
"Bangladesh"						93	0	2	4035	0.51	13	
"Kenya"						94	0	-32	1690	0.32	13.4	
"Fiji"						95	0	4	4218	0.37	14	
"Montenegro"						96	0	22	993	0.45	12.4	
"Burkina Faso"						97	0	43	1155	0.8	12.5	
"Sierra Leone"						98	0	-23	5635	0.73	12.5	
"Korea, Democratic People's Republic of"						99	0	109	847	1	12.4	
"Ship stores and bunkers"						101	0			1		
"Armenia"						102	0	-36	491	0.48	13.4	
"Zambia"						103	0	16	1650	0.3	13.4	
"Central African Republic"						104	0	-11	1264	0.84	12.9	
"Lao People's Democratic Republic"						106	0	107	792	0.94	13.3	
"El Salvador"						108	0	84	7556	0.23	13.4	
"Benin"						109	0	-8	774	0.24	12.5	
"Ghana"						111	0	13	3890	0.24	12.5	
"Angola"						113	0	-34	6781	0.33	13.4	
"Vanuatu"						116	0		2763	1	14	
"New Caledonia"						117	0	-65	3013	0.6	12.4	
"Tanzania, United Republic of"						118	0	-46	1746	0.34	13.4	
"Kuwait"						119	0	68	3757	0.7	13	
"Equatorial Guinea"						120	0	94	2774	0.97	12.9	
"Turkmenistan"						122	0	-1	1326	0.98	13.4	
"Nepal"						124	0	1	6698	0.98	13	
"Oman"						125	0	93	5890	0.96	13	
"Cambodia"						126	0	229	2860	0.86	13.3	
"Iceland"						127	0	-30	1652	0.98	13.4	
"Barbados"						128	0	3	2502	0.29	12.5	
"Afghanistan"						129	0	25	8540	0.93	12.5	
"Iran, Islamic Republic of"						130	0	-23	2615	0.19	13	
"Greenland"						131	0	305	3388	1	12.4	
"Pitcairn"						133	0			1	12.4	
"Zimbabwe"						134	0	-2	1348	0.91	13.4	
"Free Zones"						135	0	-68		0.9		
"Brunei Darussalam"						136	0	-4	1263	1	13.3	
"Seychelles"						137	0		14928	1	13.4	
"Jordan"						138	0	-18	112	0.52	13	
"Eswatini"						139	0	-3	1162	0.81	13.4	
"Faroe Islands"						140	0		1193	0.75	12.4	
"Timor-Leste"						141	0		6176	0.64	12.4	
"Uganda"						142	0	28	3592	0.71	13.4	
"Falkland Islands (Malvinas)"						143	0	87	13065	0.8	12.4	
"Guinea"						144	0	1	9990	0.59	12.5	
"Aruba"						145	0	31	9840	0.82	12.4	
"Sudan"						146	0			0.58		
"Albania"						148	0	-18	672	0.44	13.4	
"Lebanon"						149	0	-29	2051	0.21	13	
"Macao, China"						150	0	-27		0.5	13.4	
"Somalia"						151	0	49	1003	1	12.4	
"Syrian Arab Republic"						152	0		1269	1	13	
"Marshall Islands"						153	0	2	5366	1	12.4	
"Togo"						154	0	-53	950	0.23	12.5	
"Mali"						155	0	-20	1565	0.8	12.5	
"Gabon"						156	0	-41	2207	0.5	12.9	
"Palestine, State of"						158	0	-45	112	1	12.4	
"Jamaica"						159	0	-24	2220	0.51	12.5	
"Botswana"						160	0	18	4696	0.52	13.4	
"French Polynesia"						161	0	-12	15918		12.4	
"Mongolia"						162	0	-81	4321	0.31	13.4	
"Malta"						163	0	-29	1755	0.4	13.4	
"Saint Kitts and Nevis"						164	0		92	1	12.5	
"Iraq"						165	0	-16	2489	0.54	12.4	
"Congo, Democratic Republic of the"						166	0	5	6480	0.52	13.4	
"Saint Vincent and the Grenadines"						167	0	0	301	1	12.5	
"Lesotho"						168	0	-51	369	1	13.4	
"Djibouti"						169	0	-71	5353	1	13	
"Dominica"						170	0		5119	0.53	12.5	
"Curaçao"						171	0	-35		0.59		
"Antigua and Barbuda"						172	0	5	6734	1	12.5	
"French Southern and Antarctic Territories"						174	0			0.31	12.4	
"Bermuda"						175	0	-21	3287	0.35	12.4	
"Grenada"						176	0	30	188	1	12.5	
"Sint Maarten (Dutch part)"						177	0	53		1		
"Comoros"						178	0		5407	0.56	13	
"Gibraltar"						179	0	-26	475	0.68	12.4	
"Bonaire, Sint Eustatius and Saba"						180	0			1		
"Ethiopia"						181	0	-90	519	1	13.4	
"Andorra"						182	0		346	1	12.4	
"Belize"						183	0	45	6158	0.63	12.5	
"Guinea-Bissau"						184	0		309	1	12.5	
"Niue"						185	0	-39	2697	1	12.4	
"Gambia"						186	0	104	4567	1	12.5	
"Haiti"						187	0	-66	8566	1	12.5	
