Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"Kazakhstan"	14	1272	0	-13	-14	91	0	13	2044	0.19	11.2	
"Oman"	13	348	0			96	0	4	6347	0.12	11.2	
"Ethiopia"	13	67	0	14	-29	143	0	-38	4357	0.11	11.2	
"Jamaica"	12	498	0	248	-9	140	0	-1	7683	0.16	11.2	
"Namibia"	11	21	0	62	-18	110	0	-44	12159	0.61	11.2	
"Belarus"	11	9	0	-32	-92	75	0	14	1760	0.11	11.2	
"Uzbekistan"	10	5893	0		548	78	0	16	2179	0.22	11.2	
"United States Minor Outlying Islands"	9	-6	0	7	-83	139	0	-32		0.27	11.2	
"Cameroon"	8	150	0	-20		121	0	8	5832	0.11	11.1	
"Malawi"	8	5	0	150	543	131	0	11	3006	0.18	11.2	
"Christmas Island"	8	-8	0	78		172	0	62		0.35	11.2	
"Kenya"	7	2902	0	-53		95	0	-6	1094	0.17	11.2	
"Belize"	6	326	0	153	-92	199	0	9	3354	0.84	11.2	
"Kiribati"	6	-6	0			215	0	30	10368	0.23	11	
"Bahrain"	5	405	0			109	0	6	5895	0.28	11.2	
"Lesotho"	5	-5	0	0	16	102	0	-1	3658	0.57	11.2	
"Qatar"	4	1782	0	32		106	0	2	5536	0.1	11.2	
"Fiji"	4	25	0	-29		115	0	-23	3016	0.14	11	
"Togo"	4	5	0			134	0	41	1833	0.13	11.1	
"Montenegro"	4	0	0	14		132	0	19	3349	0.15	11.2	
"Cocos (Keeling) Islands"	4	-4	0			210	0	4		0.4	11.2	
"Angola"	3	6600	0			164	0	-33	6046	0.07	11.2	
"Congo"	3	1016	0	493	70	178	0	-25	7563	0.11	11.1	
"Aruba"	3	27	0			149	0	30	5292	0.53	11.2	
"Norfolk Island"	3	-3	0	19		223	0	-6	16691	0.4	11.2	
"Bermuda"	2	627	0			170	0	8	2262	0.87	11.2	
"Tanzania, United Republic of"	2	354	0	31		128	0	9	3182	0.16	11.2	
"Cabo Verde"	2	13	0	-2	-82	227	0	2			11.1	
"Andorra"	2	-1	0	247	-86	105	0	8	1323	0.33	11.2	
"Nepal"	2	-1	0	21		163	0	8	5616	0.44	11.2	
"Madagascar"	2	-2	0	-29		154	0	-20	5915	0.32	11.2	
"Gambia"	2	-2	0	32		173	0	30	2782	0.44	11.1	
"Montserrat"	2	-2	0			195	0	16		0.26	11.2	
"Djibouti"	2	-2	0	60		197	0	-10	4694	0.18	11.2	
"Maldives"	2	-2	0		-30	207	0	0	2137	0.81	11.2	
"Bolivia, Plurinational State of"	1	104291	0			136	0	20	5607	0.22	0	
"Guatemala"	1	19078	0	15		90	0	-1	2892	0.14	11.2	
"Saudi Arabia"	1	13250	0	-61		81	0	-4	4412	0.1	11.2	
"Liberia"	1	1689	0			221	0	-56	5388	0.37	11.2	
"Nigeria"	1	1420	0			126	0	36	4978	0.24	11.1	
"Ghana"	1	1325	0	-13		123	0	-14	3255	0.16	11.1	
"Barbados"	1	803	0	-36		124	0	-6	3330	0.27	11.2	
"Bangladesh"	1	160	0	-31		103	0	-4	6622	0.16	11.2	
"Gibraltar"	1	10	0	91		209	0	-6	2008	0.29	11.2	
"Dominica"	1	-1	0	-35		161	0	11	3925	0.33	11.2	
"Tokelau"	1	-1	0	-10		200	0	-40	12834	0.09	11.2	
"Comoros"	1	-1	0			211	0	12	10851	0.25	11.2	
"Turkmenistan"		5667				174	0	-28	3590	0.21	11.2	
"Algeria"		4778				114	0	-11	4961	0.16	11.2	
"Guyana"		4025				168	0	-43	4135	0.22	11.2	
"Iraq"		3677				138	0	10	3605	0.35	11.2	
"Cuba"		3440				175	0	-4	8174	0.23	4.8	
"Congo, Democratic Republic of the"		1828				133	0	31	5607	0.29	11.2	
"Trinidad and Tobago"		1816				93	0	-26	1357	0.7	11.2	
"Kuwait"		1530				113	0	1	4580	0.22	11.2	
"Jordan"		1219				74	0	-3	1944	0.23	11.2	
"Suriname"		1061				83	0	74	2432	0.46	11.2	
"Mauritania"		752				152	0	-33	3417	0.33	11.1	
"Mozambique"		741				141	0	-38	4044	0.21	11.2	
"Guinea"		669				171	0	26	6052	0.16	11.1	
"Côte d'Ivoire"		631				117	0	5	3760	0.1	11.1	
"Bahamas"		630				187	0	-20	5752	0.18	11.2	
"New Caledonia"		490				153	0	-13	10346	0.1	11.2	
"Chad"		484				202	0	-30	7636	0.16	11.1	
"Haiti"		446				146	0	32	4547	0.39	11.1	
"Burkina Faso"		393				144	0	-8	1740	0.16	11.1	
"Marshall Islands"		385				194	0	-8	12117	0.21	11.2	
"Sudan"		246				184	0	2		0.24		
"Yemen"		146				212	0	-65	9789	0.32	11.1	
"French Polynesia"		114				156	0	11	13459	0.47	11.2	
"Zambia"		100				99	0	9	1740	0.18	11.2	
"Antigua and Barbuda"		93				192	0	19	4839	0.15	11.2	
"Equatorial Guinea"		57				98	0	136	2816	0.99	11.1	
"Saint Vincent and the Grenadines"		52				198	0	-6	2376	0.21	11.2	
"Libya, State of"		48				179	0	-7	2559	0.25	11.2	
"Grenada"		44				191	0	-25	2867	0.23	11.2	
"Botswana"		37				82	0	1	594	0.97	11.2	
"Sao Tome and Principe"		31				225	0	-43	4027	0.67	11.2	
"Papua New Guinea"		28				127	0	0	10142	0.23	11	
"Uganda"		27				160	0	-21	5095	0.09	11.2	
"Zimbabwe"		24				130	0	3	1315	0.4	11.2	
"Kyrgyzstan"		23				85	0	64	2347	0.46	11.2	
"Azerbaijan"		20				107	0	4	2008	0.1	11.2	
"Armenia"		18				66	0.01	96	2023	0.84	11.2	
"Benin"		17				181	0	-25	3709	0.15	11.1	
"Area Nes"		14										
"Saint Lucia"		6				158	0	-17	4724	0.67	11.2	
"Gabon"		5				162	0	-8	8577	0.24	11.1	
"Brunei Darussalam"		4				112	0	12	9484	0.32	11.2	
"Nauru"		4				169	0	2	11377	0.55	11.2	
"Burundi"		2				182	0	14	1803	0.2	11.2	
"Vanuatu"		2				190	0	11	12462	0.21	11	
"Iran, Islamic Republic of"		1				111	0	0	7337	0.15	11.2	
"Timor-Leste"		1				166	0		6598	0.48	11.2	
"Niue"		1				177	0	43	10210	0.81	11.2	
"Cook Islands"		1				213	0	-17	10906	0.27	11.2	
"Palau"		1				220	0	-40	4727	0.41	11	
"Ship stores and bunkers"						101	0	-14		1		
"Free Zones"						108	0	-37		0.58		
"Pitcairn"						120	0	175		0.88	11.2	
"Korea, Democratic People's Republic of"						125	0	10	9896	0.3	11.2	
"Mongolia"						147	0	15	3944	0.32	11.2	
"Greenland"						155	0	131	3588	0.25	11.2	
"Faroe Islands"						159	0	36	2028	0.23	11.2	
"Saint Helena"						176	0	11	9050	0.21	11.2	
"Solomon Islands"						180	0	50	13663	0.75	11	
"French Southern and Antarctic Territories"						183	0	-13		0.16	11.2	
"Micronesia, Federated States of"						185	0	76	12076	0.35	11	
"Palestine, State of"						186	0	73	9094	0.7	11.2	
"Turks and Caicos Islands"						188	0	2	10245	0.16	11.2	
"Anguilla"						193	0	-4	6375	0.72	11.2	
"Somalia"						196	0	-41	6010	0.37	11.2	
"Falkland Islands (Malvinas)"						201	0	-6	13323	0.58	11.2	
"Northern Mariana Islands"						203	0	48	8082	0.27	11.2	
"Tonga"						204	0	-17	10902	0.18	11	
"Sint Maarten (Dutch part)"						205	0	10		0.47		
"Tuvalu"						206	0	0	14783	0.26	11.2	
"Syrian Arab Republic"						208	0	-17	1661	0.39	11.2	
"South Sudan"						216	0	29		0.33		
"British Indian Ocean Territory"						217	0	-15		0.21	11.2	
"Eritrea"						218	0	-10	9795	0.23	11.2	
"Bonaire, Sint Eustatius and Saba"						219	0	26		0.46		
"Wallis and Futuna Islands"						222	0	-16	13042	0.19	11.2	
"Western Sahara"						224	0	-17	3775	0.6	11.2	
"Saint Pierre and Miquelon"						226	0	-44	4584	0.22	11.2	
