Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Germany's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Germany (%)	
"Sri Lanka"		16									2.2	
"Moldova, Republic of"		15									0	
"Nigeria"		15									2.5	
"Barbados"		14				60	0	386	4164	1	2.8	
"Cameroon"		14									0.6	
"Cuba"		14									2.2	
"Iran, Islamic Republic of"		13				80	0	-36	1676	1	2.2	
"Suriname"		12				102	0		3399	0.58	2.8	
"Afghanistan"		12				129	0	-60	13645	1	2.5	
"Tajikistan"		11									2.2	
"Macao, China"		8				100	0	-29		0.71	2.2	
"Turkmenistan"		6				115	0	-16	3946	1	2.2	
"Gibraltar"		6				121	0	-17	489	1	2.2	
"Trinidad and Tobago"		5				104	0	96	567	1	2.8	
"Eritrea"		4									2.2	
"Somalia"		1									2.2	
"Uganda"		1									2.2	
"Djibouti"						46	0.04	84	2798	1	2.2	
"Pitcairn"						53	0.02			1	0	
"Algeria"						58	0	427	1064	1	0	
"Central African Republic"						65	0		6079	1	0.6	
"Sudan"						67	0	-35		1		
"Burkina Faso"						72	0	-46	4492	1	2.5	
"Equatorial Guinea"						73	0		2806	1	0.6	
"Papua New Guinea"						81	0		4555	0.73	3.2	
"Yemen"						84	0	78	12498	0.97	2.5	
"Costa Rica"						86	0	227	12230	0.47	0	
"Nauru"						87	0		10707	1	2.2	
"Saint Kitts and Nevis"						89	0		3669	1	2.8	
"Mozambique"						94	0		1018	0.79	2.2	
"Mali"						97	0	67	4410	1	2.5	
"Zimbabwe"						98	0	5	697	1	2.2	
"Ship stores and bunkers"						101	0			1		
"Turks and Caicos Islands"						103	0		3229	0.82	0	
"Aruba"						105	0		1788	1	0	
"Cayman Islands"						106	0		9276	1	0	
"Tonga"						107	0		10021	1	3.2	
"Korea, Democratic People's Republic of"						109	0		7671	1	2.2	
"Guyana"						110	0	108	4874	1	2.8	
"Guinea-Bissau"						112	0		4921	1	2.5	
"Seychelles"						113	0	-20	6212	1	2.2	
"Congo"						114	0		11912	1	0.6	
"Faroe Islands"						120	0		1317	1	0	
"Curaçao"						122	0			1		
"Vanuatu"						123	0		12355	1	3.2	
"Iraq"						124	0	-81	9770	1	2.2	
"Tokelau"						125	0	-74	10221	1	2.2	
"Albania"						126	0	-54	7765	1	0	
"Sint Maarten (Dutch part)"						131	0			1		
"Bonaire, Sint Eustatius and Saba"						132	0			1		
"Sierra Leone"						133	0	-53	817	1	2.5	
