Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"Qatar"		3				81	0	-36	5213	0.18	0	
"Iraq"		2				60	0.03	430	3757	0.98	0	
"Nepal"		2				159	0	-62	5523	0.17	0	
"Uzbekistan"		1				78	0	9	2422	0.28	0	
"Eritrea"		1									0	
"Cayman Islands"						41	0.1	288	9286	1	0	
"Luxembourg"						42	0.10	10	4292	0.11	0	
"Myanmar"						46	0.06	10	1933	0.89	0	
"Greece"						50	0.05	28	6063	0.36	0	
"Malta"						53	0.04	-19	2596	0.29	0	
"Cyprus"						55	0.04	12	2788	0.47	0	
"Croatia"						56	0.04	8	517	0.56	0	
"Saudi Arabia"						57	0.03	2	4926	0.17	0	
"Mongolia"						58	0.03	51	4218	0.46	0	
"Albania"						69	0.02	222	1094	0.68	0	
"Kyrgyzstan"						71	0.01	-66	4005	0.2	0	
"Yemen"						73	0.01	707	12412	0.97	0.1	
"Senegal"						74	0	-13	2595	0.57	0.1	
"Macao, China"						75	0	-8		0.8	0	
"Mozambique"						77	0	-9	4714	0.43	0	
"Belarus"						79	0	30	1734	0.76	0	
"Bahrain"						80	0	91	3655	0.38	0	
"Papua New Guinea"						82	0	-8	8167	0.47	0.1	
"Oman"						83	0	24	5547	0.45	0	
"Serbia"						84	0	-24	2528	0.09	0	
"Fiji"						85	0	-9	8303	0.26	0.1	
"New Caledonia"						86	0	-9	2457	0.66	0	
"Ship stores and bunkers"						87	0	7		1		
"Pakistan"						90	0	-18	5710	0.37	0	
"Kuwait"						91	0	-49	5627	0.33	0	
"Brunei Darussalam"						96	0	-42	4453	0.37	0	
"Togo"						97	0	-9	2474	0.41	0.1	
"Suriname"						98	0	157	5268	0.51	0.1	
"Botswana"						99	0	-39	587	0.98	0	
"Algeria"						100	0	9	5014	0.36	0	
"Montenegro"						101	0	12	2769	0.18	0	
"Curaçao"						102	0	100		0.39		
"Uganda"						103	0	-2	5459	0.63	0	
"Bhutan"						105	0	-26	3246	1	0	
"Madagascar"						106	0	-19	3023	0.77	0	
"Namibia"						108	0	125	1771	0.82	0	
"Dominican Republic"						110	0	-12	5485	0.39	0	
"Pitcairn"						112	0			1	0	
"Lao People's Democratic Republic"						114	0	-30	1611	0.78	0	
"Macedonia, North"						115	0	20	362	0.6	0	
"Congo, Democratic Republic of the"						116	0	-12	6190	0.67	0	
"Guinea"						117	0	103	4391	0.99	0.1	
"Moldova, Republic of"						120	0	6	798	0.34	0	
"Greenland"						121	0	32	3153	0.53	0	
"Rwanda"						122	0	13	6150	0.78	0	
"United States Minor Outlying Islands"						123	0	19		0.5	0	
"Bosnia and Herzegovina"						124	0	61	916	0.76	0	
"Côte d'Ivoire"						125	0	-39	4162	0.35	0.1	
"Eswatini"						126	0	10	9199	0.66	0	
"Tanzania, United Republic of"						127	0	41	6615	0.81	0	
"Nicaragua"						129	0	-15	3145	1	0	
"Bangladesh"						130	0	11	7041	0.36	0	
"Korea, Democratic People's Republic of"						131	0	36	7393	0.57	0	
"Libya, State of"						132	0	71	2627	0.93	0	
"Equatorial Guinea"						133	0	50	2838	0.97	0	
"Ethiopia"						134	0	-37	11194	0.71	0	
"Zambia"						135	0	-3	1604	0.5	0	
"Sudan"						137	0	107		0.84		
"El Salvador"						138	0	24	8680	0.7	0	
"Ghana"						139	0	10	5055	0.8	0.1	
"Benin"						140	0		9577	0.63	0.1	
"Gabon"						141	0	-45	5462	0.87	0	
"Central African Republic"						142	0		4956	0.43	0	
"Liberia"						143	0		5595	1	0	
"Nauru"						144	0	394	5210	1	0	
"Iran, Islamic Republic of"						145	0	10	4598	0.36	0	
"Free Zones"						146	0	-68		1		
"Belize"						147	0	-21	2418	0.8	0.1	
"Afghanistan"						148	0	-23	7378	0.3	0.1	
"Cameroon"						149	0	36	4983	0.34	0	
"Cambodia"						150	0	33	517	0.91	0	
"Sierra Leone"						151	0	56	7492	0.44	0.1	
"Micronesia, Federated States of"						152	0	40	3323	0.99	0.1	
"Chad"						153	0	-28	4171	0.4	0	
"Andorra"						154	0	-3	451	0.4	0	
"Malawi"						155	0	9	7636	0.45	0	
"Falkland Islands (Malvinas)"						156	0	31	13030	0.54	0	
"Anguilla"						160	0	67	6481	0.97	0	
"Timor-Leste"						161	0		3772	0.94	0	
"French Southern and Antarctic Territories"						162	0	54		0.45	0	
"Solomon Islands"						163	0	-18	13657	0.83	0.1	
"Saint Vincent and the Grenadines"						164	0	37	4015	0.97	0.1	
"Zimbabwe"						165	0	-8	3422	0.56	0	
"Lebanon"						166	0	-32	6625	0.62	0	
"Cuba"						168	0	-42	7466	0.95	0	
"Venezuela, Bolivarian Republic of"						169	0	-63	17518	0.91	0	
"Antigua and Barbuda"						170	0		6052	0.72	0.1	
"Somalia"						171	0	17	5598	0.54	0	
"Bermuda"						172	0	-48	2067	1	0	
"Aruba"						175	0	-73	2750	0.76	0	
"Vanuatu"						176	0	-21	3910	0.82	0.1	
"Seychelles"						177	0	-67	4992	0.58	0	
"Faroe Islands"						178	0	-59	2714	0.74	0	
"Sint Maarten (Dutch part)"						179	0	2		0.88		
"Tokelau"						180	0	-11	15820	1	0	
"Bahamas"						181	0	2	3957	0.76	0	
"Marshall Islands"						182	0	11	13277	1	0	
"Grenada"						183	0	-11	4128	1	0.1	
"Gambia"						184	0	-34	4446	0.51	0.1	
"Congo"						185	0	-62	5470	0.33	0	
"Trinidad and Tobago"						186	0	-78	5604	0.58	0.1	
"Sao Tome and Principe"						188	0	-42	4739	0.68	0	
"Saint Kitts and Nevis"						189	0	79	4686	0.57	0.1	
"Djibouti"						190	0	33	4776	0.4	0	
"Lesotho"						191	0	-3	7688	1	0	
"Mauritius"						192	0	-70	8684	0.83	0	
"Tonga"						193	0	-19	2264	1	0.1	
"Jamaica"						194	0	16	10868	0.51	0.1	
"Northern Mariana Islands"						195	0	4	12201	1	0	
"Palau"						196	0		3465	1	0.1	
"Comoros"						197	0	4	7884	0.63	0	
"Azerbaijan"						198	0		3527	0.5	0	
"Kiribati"						199	0	-44	4831	1	0.1	
"Honduras"						200	0	-64	1022	0.5	0	
"South Sudan"						201	0	-40		1		
"Guinea-Bissau"						202	0		13171	1	0.1	
