Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"Sweden"	54	979	95	1401	645	1043	1645	1119	800	2507	1378	1492	1756	2339	1947	4088	4657	1801	1349	2445	
"Denmark"	485	1158	656	649	1569	1685	1492	1966	4401	3332	3800	4915	4029	2479	3157	1874	3175	2979	2832	2222	
"Switzerland"	549	462	1245	1490	1918	2372	4033	2651	2760	3313	2834	2726	2965	3028	1614	2402	7570	2757	2444	2087	
"Lithuania"	0	0	0	0	1	0	10	0	25	92	30	20	24	64	106	231	1145	856	582	1576	
"Ireland"	5	55	56	258	257	48	318	196	982	474	2163	824	1179	517	971	3083	3728	3364	2123	1230	
"Mexico"	24	35	3	21	7	35	1557	1740	5430	2759	4138	3249	3045	3831	1728	3757	4227	2644	903	1165	
"Slovakia"	0	6	0	6	44	1	27	2	46	180	191	188	2888	369	54	1571	1328	746	1182	1072	
"Russian Federation"	0	61	1	41	3	13	7	3	226	855	779	496	615	140	480	477	152	1189	245	1061	
"Serbia"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	40	14	8	1	870	
"South Africa"	0	48	83	83	30	5	136	32	159	475	330	76	38	81	323	245	76	326	424	819	
"Nepal"	1602	1150	1244	204	206	1009	876	333	452	382	41	239	452	226	57	14	17	17	137	785	
"Portugal"	0	33	33	15	45	49	77	54	230	466	376	319	1920	383	1228	1109	1095	783	809	508	
"Brazil"	34	338	1201	1635	1183	537	368	169	324	620	507	810	1297	503	478	3060	2523	2153	927	480	
"Australia"	1772	1587	2988	529	653	828	2357	1282	3660	5976	2170	1563	748	1185	1260	1097	1483	814	669	446	
"New Zealand"	15	4	13	14	42	141	1277	217	395	539	402	102	185	316	274	458	517	548	339	435	
"Area Nes"	889	706	383	1039	492	653	1664	2341	410	4978	514	173	377	196	204	1571	768	226	189	372	
"Philippines"	18	136	89	223	296	1343	1531	986	750	1071	1523	1316	2153	1248	1624	1129	764	577	215	250	
"Greece"	16	1	0	2	4	1	65	356	81	80	72	94	38	72	63	81	57	132	36	215	
"Oman"	19	5	32	104	85	114	152	200	707	1214	900	201	46	580	53	834	517	1870	506	193	
"Hungary"	18	27	49	497	551	1061	922	1063	2085	1947	1274	2480	3192	2857	2315	2075	2261	2380	1222	160	
"Romania"	1	0	15	0	0	0	579	23	263	363	792	308	336	122	129	236	1061	778	197	129	
"Myanmar"	18	0	1	140	20	15	25	0	23	191	264	32	29	17	53	41	143	298	138	120	
"Norway"	0	24	13	119	99	654	2575	955	2035	1440	2838	918	1178	1395	964	481	391	351	351	112	
"Morocco"	0	26	10	10	54	0	0	15	31	9	19	7	4	3	3	448	16	46	1	99	
"Estonia"	0	0	0	0	0	4	8	0	10	4	24	42	268	322	224	32	343	3	131	94	
"Ukraine"	140	28	0	5	15	6	29	14	7	152	155	17	6	6	612	506	54	45	1	92	
"Egypt"	70	98	101	43	25	274	337	149	92	166	132	245	751	638	293	245	65	24	46	57	
"Algeria"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	81	44	
"Latvia"	0	0	0	0	0	0	0	0	0	0	13	84	45	46	173	32	242	220	58	44	
"Slovenia"	30	63	19	1	5	0	49	3	94	127	95	148	14	49	5574	1273	783	282	214	44	
"Lebanon"	0	0	0	0	0	0	189	20	23	3	61	0	62	68	2	49	265	29	85	37	
"Bulgaria"	0	0	2	2	3	21	17	17	11	35	101	11	61	91	79	179	270	56	30	36	
"Argentina"	0	6	0	0	0	21	7	0	0	146	45	0	20	0	7	2	0	0	1	31	
"Qatar"	0	0	0	0	74	4	32	1	164	574	391	75	7	1	2	21	63	325	59	27	
"Seychelles"	0	0	0	0	9	8	0	4	0	0	8	0	0	0	0	0	0	0	21	20	
"Jordan"	0	0	21	0	0	0	59	5	0	64	15	1	0	0	0	0	10	131	1	18	
"Macao, China"	0	0	0	0	0	1	0	0	0	0	0	117	1	0	0	0	0	0	0	17	
"Senegal"	0	0	0	0	0	0	31	0	0	20	180	0	0	0	0	0	0	4	28	16	
"Mauritius"	0	0	0	14	0	0	0	2	32	5	10	1	12	0	1	45	17	13	1	12	
"Tanzania, United Republic of"	0	1	1	0	0	2	0	0	0	55	1	0	0	0	2	0	0	0	0	12	
"Congo"	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	10	
"Bahrain"	3	12	1	0	4	1	4	16	1	196	88	38	3	310	15	4	2	174	22	9	
"Bhutan"	0	0	0	9	111	298	206	738	497	344	42	0	0	43	8	0	16	24	17	8	
"Malta"	0	0	2	0	0	0	0	0	0	19	0	37	17	3	1	1	7	29	7	8	
"Chile"	3	16	0	105	0	5	0	0	294	2	82	16	0	1	19	79	1	26	40	7	
"Malawi"	0	0	0	0	0	4	7	0	0	0	12	22	0	0	17	10	18	133	15	6	
"Saudi Arabia"	897	154	431	254	1256	927	350	199	230	772	805	20	124	20	2	34	431	425	27	4	
"Croatia"	0	0	0	0	0	0	0	0	0	7	79	49	96	4	16	50	105	58	39	3	
"Cyprus"	0	0	0	5	0	2	14	0	7	67	173	16	2	51	2	48	0	4	9	3	
"Tunisia"	0	0	0	0	0	0	0	0	0	9	10	4	0	8	23	0	0	12	4	3	
"Dominican Republic"	0	0	0	0	48	0	0	0	0	0	0	0	0	0	6	14	2	0	0	2	
"Curaçao"	0	0	0	0	0	0	0	0	0	14	1	0	0	51	6	24	21	36	15	1	
"Papua New Guinea"	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	1	
"Cambodia"	0	0	0	3	0	0	0	0	1	0	20	4	0	0	9	14	3	10	1	0	
"Georgia"	44	0	0	0	0	0	4	59	19	82	0	0	0	1	0	0	0	13	0	0	
"Kuwait"	2	0	24	13	191	0	27	103	38	71	29	16	76	0	12	3	32	0	344	0	
"Peru"	0	0	0	0	0	0	0	0	0	43	24	9	0	0	0	0	0	0	0	0	
"Chad"	0	0	0	0	0	0	0	4	0	0	0	13	0	0	0	0	0	0	0		
"French Southern and Antarctic Territories"	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0		
"Korea, Democratic People's Republic of"	0	0	0	0	390	215	10	9	9	0	0	94	129	157	117	75	0	10	0		
"Norfolk Island"	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0		
"Marshall Islands"	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	3	0	5	0		
"Saint Helena"	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Saint Pierre and Miquelon"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Somalia"	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Tokelau"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0		
"United States Minor Outlying Islands"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0		
"Afghanistan"	0	1	0	0	1	0	9	0	1	0	18	0	0	0	0	0	0	8	0		
"Albania"	0	0	0	0	0	0	0	0	0	0	0	0	25	11	0	0	2	0	0		
"Azerbaijan"	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0		
"Bahamas"	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	49	0	0		
"Barbados"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0		
"Bermuda"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0		
"Bosnia and Herzegovina"	0	0	0	0	0	0	3	3	0	8	0	3	0	14	0	71	0	0	0		
"Botswana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Brunei Darussalam"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0		
"Belarus"	0	0	0	0	0	0	22	0	0	13	5	0	39	0	5	17	0	51	2		
"Cameroon"	0	0	0	7	0	12	12	0	2	20	15	0	0	0	0	0	31	0	7		
"Central African Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		
"Colombia"	0	0	0	3	0	0	6	0	10	38	75	16	4	0	0	0	0	0	6		
"Comoros"	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0		
"Congo, Democratic Republic of the"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0		
"Cook Islands"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		
"Costa Rica"	0	0	0	0	2	0	0	0	0	121	36	0	0	67	0	0	7	1	0		
"Cuba"	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Benin"	0	0	0	0	0	0	0	0	1	17	187	0	0	0	0	0	0	0	0		
"Dominica"	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Ecuador"	0	0	1	0	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0		
"El Salvador"	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0		
"Ethiopia"	0	0	0	0	0	0	2	0	0	8	2	2	0	0	8	0	9	0	2		
"Fiji"	0	0	0	0	0	0	0	0	0	0	0	53	20	0	0	0	0	16	0		
"French Polynesia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0		
"Djibouti"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0		
"Gabon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0		
"Gambia"	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0		
"Ghana"	0	0	0	0	0	0	1	0	1	41	72	0	0	0	0	0	1	0	0		
"Guatemala"	0	0	0	0	0	0	0	0	0	33	0	0	1	0	0	0	0	0	0		
"Guinea"	0	0	0	0	0	0	0	0	33	46	22	0	0	0	0	0	0	0	0		
"Guyana"	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0		
"Haiti"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0		
"Honduras"	0	0	0	4	98	1	0	0	0	0	0	0	1	0	0	1	0	0	0		
"Iceland"	0	0	3	0	0	0	13	0	0	0	0	0	0	0	0	10	48	10	8		
"Iran, Islamic Republic of"	10	13	6	8	2	1	0	33	157	439	293	6	0	15	82	0	9	12	43		
"Iraq"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	6	137	49	0	0	0	8	0	0	0	0		
"Jamaica"	0	0	0	0	0	0	0	0	1	5	0	0	2	0	1	0	0	1	0		
"Kazakhstan"	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0		
"Kenya"	1	32	0	0	0	13	0	7	3	45	4	94	15	14	4	81	10	12	310		
"Kyrgyzstan"	0	0	0	0	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0		
"Lao People's Democratic Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0		
"Lesotho"	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0		
"Liberia"	0	0	0	0	0	0	0	0	0	9	20	0	0	0	0	0	0	0	0		
"Luxembourg"	0	0	0	0	0	0	0	0	0	16	143	0	0	1	8	0	0	15	0		
"Madagascar"	0	0	0	0	0	21	1	0	0	4	0	0	0	0	0	0	0	0	0		
"Maldives"	1	0	0	0	0	0	0	1	2	0	107	189	68	1	0	0	0	1	10		
"Mali"	0	0	0	145	69	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
"Mongolia"	0	0	2	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0		
"Moldova, Republic of"	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0		
"Mozambique"	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0		
"Namibia"	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	2	0	0	0		
"Netherlands Antilles"	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0		
"New Caledonia"	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0		
"Vanuatu"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		
"Nicaragua"	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0		
"Niger"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0		
"Nigeria"	0	95	1	0	0	0	129	0	80	225	3	0	0	0	0	0	1	0	0		
"Pakistan"	5	25	9	4	4	0	66	9	198	61	100	93	114	65	24	23	38	11	0		
"Panama"	0	0	0	0	0	0	0	0	0	5	14	0	0	0	0	0	13	0	10		
"Paraguay"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0		
"Guinea-Bissau"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0		
"Timor-Leste"	0	0	0	0	0	0	0	0	0	0	3	331	67	10	0	0	0	0	0		
"Anguilla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Sierra Leone"	46	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Zimbabwe"	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	2	5	0	0		
"Sudan"	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0		
"Suriname"	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0		
"Eswatini"	0	0	0	9	19	4	96	8	23	235	146	491	872	235	76	0	0	1	0		
"Syrian Arab Republic"	0	0	0	0	0	0	2	1	0	1	34	2	0	6	0	31	0	0	0		
"Trinidad and Tobago"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Uganda"	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0		
"Macedonia, North"	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	415	252	0	0		
"Burkina Faso"	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0		
"Uruguay"	0	0	0	0	0	0	0	0	0	23	7	3	0	2	0	0	2	0	0		
"Uzbekistan"	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	25	0		
"Venezuela, Bolivarian Republic of"	0	0	0	0	0	1	0	0	0	0	0	5	2	0	0	0	7	14	0		
"Samoa"	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	130	39	0		
"Yemen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Zambia"	0	0	0	0	0	0	0	0	0	18	3	0	0	0	0	0	0	3	0		
