Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Germany's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Germany (%)	
"Israel"	8406	3448	0.1	17	-66	10	1.6	1	6781	0.17	0	
"Hong Kong, China"	7914	205965	0.1	22	91	22	0.8	3	2788	0.36	1.4	
"Portugal"	6052	288896	0.1	-2	24	34	0.3	-11	4528	0.22	0	
"Singapore"	5930	270296	0.1	56	-34	7	3.5	-13	6930	0.07	1.4	
"Sri Lanka"	4823	-2979	0	16	16	72	0.01	-28	7347	0.18	0	
"Pakistan"	4729	-2544	0	57	871	90	0	-18	5710	0.37	0	
"Morocco"	4713	-2306	0	-48	71	19	0.9	12	1767	0.9	0	
"Slovakia"	4420	109	0	12	1	61	0.03	11	2081	0.26	0	
"Finland"	4304	26241	0	-19	-56	44	0.09	29	5081	0.22	0	
"Malaysia"	3506	7913	0	-24	110	18	1	-11	8130	0.13	1.4	
"Armenia"	2797	-2570	0			109	0	164	1803	0.96	0	
"Russian Federation"	2651	252989	0	-35	-86	37	0.2	-18	5125	0.25	1.4	
"Croatia"	2299	1268	0	133	28	56	0.04	8	517	0.56	0	
"Slovenia"	2194	16382	0	0	59	47	0.06	-6	2099	0.35	0	
"Australia"	1692	399989	0	13	46	23	0.7	-13	11741	0.29	1.4	
"Ukraine"	1492	6026	0	-12	-36	65	0.02	-16	4384	0.27	0	
"Norway"	1311	44774	0	-13	-83	38	0.2	-19	3839	0.2	0	
"Ethiopia"	867	3705	0		957	134	0	-37	11194	0.71	0	
"Serbia"	795	8185	0	32	223	84	0	-24	2528	0.09	0	
"Tunisia"	700	2664	0	50	38	40	0.1	-7	1778	0.78	0	
"Philippines"	612	249728	0	27	-28	31	0.3	-21	8624	0.15	0	
"Qatar"	466	18350	0	55	352	81	0	-36	5213	0.18	1.4	
"Bosnia and Herzegovina"	307	-223	0	34	2262	124	0	61	916	0.76	0	
"New Zealand"	284	179617	0	-9	-23	63	0.02	-5	10936	0.25	1.4	
"Lithuania"	237	87540	0	21	-88	52	0.04	5	4345	0.07	0	
"Bulgaria"	171	8162	0	-8	200	48	0.06	35	1901	0.18	0	
"Azerbaijan"	164	2311	0	59	148	198	0		3527	0.5	1.4	
"Turkmenistan"	106	-57	0		1667	64	0.02	102	4329	0.5	1.4	
"Kazakhstan"	104	270136	0	-18	352	68	0.02	32	3148	0.42	1.4	
"Indonesia"	92	13051	0	20	33	45	0.07	-9	7408	0.1	0	
"Malta"	85	178425	0	-54	-64	53	0.04	-19	2596	0.29	0	
"Bahrain"	85	98802	0		16	80	0	91	3655	0.38	1.4	
"Namibia"	85	61	0	359	-100	108	0	125	1771	0.82	0	
"Nigeria"	58	1459	0	130	-62	62	0.03	20	1596	0.66	0	
"Iceland"	58	125	0	-48	-28	89	0	40	1667	0.77	0	
"Greece"	53	713789	0	-45	96	50	0.05	28	6063	0.36	0	
"Georgia"	53	10447	0	44		76	0	27	5057	0.21	0	
"Chile"	47	352649	0		-11	27	0.4	45	7145	0.25	0	
"Latvia"	37	4603	0	-7	311	59	0.03	-21	2803	0.22	0	
"Estonia"	32	2902	0	-24	-27	70	0.01	42	3008	0.12	0	
"Argentina"	29	1338	0	-40	1350	167	0	-66	8608	1	1.4	
"Niger"	28	1694	0	34	27	119	0	10	3389	0.41	0	
"Algeria"	18	95	0			100	0	9	5014	0.36	0	
"Central African Republic"	16	-16	0			142	0		4956	0.43	0	
"Kuwait"	15	583	0		-25	91	0	-49	5627	0.33	1.4	
"Antigua and Barbuda"	8	-8	0			170	0		6052	0.72	0	
"El Salvador"	7	13542	0	-43	-50	138	0	24	8680	0.7	0	
"Costa Rica"	7	844	0	-45		92	0	79	4180	0.4	0	
"Oman"	5	81657	0	-47		83	0	24	5547	0.45	1.4	
"Iran, Islamic Republic of"	4	5368	0	-52	-43	145	0	10	4598	0.36	1.4	
"Cyprus"	4	1373	0	68	-64	55	0.04	12	2788	0.47	0	
"Belarus"	4	52	0	-28		79	0	30	1734	0.76	1.4	
"Libya, State of"	3	1892	0			132	0	71	2627	0.93	1.4	
"Senegal"	3	213	0	16	-92	74	0	-13	2595	0.57	0	
"Cambodia"	3	103	0			150	0	33	517	0.91	0	
"Uzbekistan"	2	532071	0	23	-92	78	0	9	2422	0.28	0	
"Macedonia, North"	2	212	0			115	0	20	362	0.6	0	
"Myanmar"	2	8	0			46	0.06	10	1933	0.89	0	
"Jordan"	1	17907	0	-68		54	0.04	-30	7753	0.34	0	
"Egypt"	1	12842	0	-59		107	0		5037	0.3	0	
"Iraq"	1	225	0			60	0.03	430	3757	0.98	1.4	
"Brunei Darussalam"	1	131	0	-58		96	0	-42	4453	0.37	1.4	
"Panama"	1	37	0			88	0	-1	9249	0.79	0	
"Bangladesh"		50229				130	0	11	7041	0.36	0	
"Aruba"		28722				175	0	-73	2750	0.76	0	
"Ecuador"		12687				51	0.04	8	3750	0.23	0	
"Colombia"		6183				49	0.05	18	2981	0.41	0	
"Kenya"		5984				128	0	4	1852	0.25	0	
"Angola"		4616				136	0	-11	3059	0.76	0	
"Rwanda"		2805				122	0	13	6150	0.78	0	
"Lebanon"		2423				166	0	-32	6625	0.62	0	
"Gibraltar"		1658									1.4	
"Peru"		1351				93	0	1	5503	0.76	0	
"Uruguay"		633				111	0	59	7258	0.53	1.4	
"Mauritius"		432				192	0	-70	8684	0.83	0	
"Sudan"		422				137	0	107		0.84		
"Yemen"		352				73	0.01	707	12412	0.97	0	
"Albania"		349				69	0.02	222	1094	0.68	0	
"Moldova, Republic of"		333				120	0	6	798	0.34	0	
"Greenland"		316				121	0	32	3153	0.53	0	
"French Polynesia"		278				67	0.02	23	14354	0.41	0	
"Nepal"		254				159	0	-62	5523	0.17	0	
"Fiji"		243				85	0	-9	8303	0.26	0	
"Andorra"		239				154	0	-3	451	0.4	0	
"Maldives"		195									1.4	
"Dominican Republic"		111				110	0	-12	5485	0.39	0	
"Uganda"		105				103	0	-2	5459	0.63	0	
"Kyrgyzstan"		104				71	0.01	-66	4005	0.2	0	
"New Caledonia"		100				86	0	-9	2457	0.66	0	
"Macao, China"		99				75	0	-8		0.8	1.4	
"Marshall Islands"		98				182	0	11	13277	1	1.4	
"Suriname"		70				98	0	157	5268	0.51	0	
"Mongolia"		69				58	0.03	51	4218	0.46	0	
"Equatorial Guinea"		64				133	0	50	2838	0.97	0	
"Tanzania, United Republic of"		63				127	0	41	6615	0.81	0	
"Seychelles"		62				177	0	-67	4992	0.58	0	
"Lao People's Democratic Republic"		60				114	0	-30	1611	0.78	0	
"Bhutan"		55				105	0	-26	3246	1	0	
"Tajikistan"		53				158	0	270	11035	0.54	0	
"Papua New Guinea"		51				82	0	-8	8167	0.47	0	
"Madagascar"		41				106	0	-19	3023	0.77	0	
"Faroe Islands"		38				178	0	-59	2714	0.74	0	
"South Sudan"		30				201	0	-40		1		
"Côte d'Ivoire"		23				125	0	-39	4162	0.35	0	
"Cayman Islands"		22				41	0.1	288	9286	1	0	
"Montenegro"		21				101	0	12	2769	0.18	0	
"Jamaica"		20				194	0	16	10868	0.51	0	
"Guatemala"		18				113	0	-14	3239	0.48	0	
"Bahamas"		18				181	0	2	3957	0.76	0	
"Congo"		18				185	0	-62	5470	0.33	0	
"Malawi"		15				155	0	9	7636	0.45	0	
"Cabo Verde"		15									0	
"Zimbabwe"		14				165	0	-8	3422	0.56	0	
"Venezuela, Bolivarian Republic of"		12				169	0	-63	17518	0.91	1.4	
"Mozambique"		11				77	0	-9	4714	0.43	0	
"Mali"		11				157	0	-6	5131	0.35	0	
"Tokelau"		8				180	0	-11	15820	1	1.4	
"Congo, Democratic Republic of the"		7				116	0	-12	6190	0.67	0	
"French Southern and Antarctic Territories"		7				162	0	54		0.45	0	
"Botswana"		5				99	0	-39	587	0.98	0	
"Zambia"		5				135	0	-3	1604	0.5	0	
"Ship stores and bunkers"		4				87	0	7		1		
"United States Minor Outlying Islands"		3				123	0	19		0.5	1.4	
"Ghana"		3				139	0	10	5055	0.8	0	
"Cameroon"		3				149	0	36	4983	0.34	0	
"Norfolk Island"		3									1.4	
"Cook Islands"		2									0	
"Paraguay"		1				95	0	-25	5765	0.45	1.4	
"Bolivia, Plurinational State of"		1				104	0		17718	0.57	0	
"Trinidad and Tobago"		1				186	0	-78	5604	0.58	0	
"Burkina Faso"						94	0	-17	2655	0.37	0	
"Togo"						97	0	-9	2474	0.41	0	
"Curaçao"						102	0	100		0.39		
"Pitcairn"						112	0			1	0	
"Guinea"						117	0	103	4391	0.99	0	
"Barbados"						118	0	12	4377	0.46	0	
"Eswatini"						126	0	10	9199	0.66	0	
"Nicaragua"						129	0	-15	3145	1	0	
"Korea, Democratic People's Republic of"						131	0	36	7393	0.57	1.4	
"Benin"						140	0		9577	0.63	0	
"Gabon"						141	0	-45	5462	0.87	1.3	
"Liberia"						143	0		5595	1	0	
"Nauru"						144	0	394	5210	1	0	
"Free Zones"						146	0	-68		1		
"Belize"						147	0	-21	2418	0.8	0	
"Afghanistan"						148	0	-23	7378	0.3	0	
"Sierra Leone"						151	0	56	7492	0.44	0	
"Micronesia, Federated States of"						152	0	40	3323	0.99	0	
"Chad"						153	0	-28	4171	0.4	0	
"Falkland Islands (Malvinas)"						156	0	31	13030	0.54	0	
"Anguilla"						160	0	67	6481	0.97	0	
"Timor-Leste"						161	0		3772	0.94	0	
"Solomon Islands"						163	0	-18	13657	0.83	0	
"Saint Vincent and the Grenadines"						164	0	37	4015	0.97	0	
"Cuba"						168	0	-42	7466	0.95	1.4	
"Somalia"						171	0	17	5598	0.54	0	
"Bermuda"						172	0	-48	2067	1	0	
"Guyana"						173	0	-80	3532	0.57	0	
"Samoa"						174	0		16957	0.9	0	
"Vanuatu"						176	0	-21	3910	0.82	0	
"Sint Maarten (Dutch part)"						179	0	2		0.88		
"Grenada"						183	0	-11	4128	1	0	
"Gambia"						184	0	-34	4446	0.51	0	
"Mauritania"						187	0	-50	4625	0.42	0	
"Sao Tome and Principe"						188	0	-42	4739	0.68	0	
"Saint Kitts and Nevis"						189	0	79	4686	0.57	0	
"Djibouti"						190	0	33	4776	0.4	0	
"Lesotho"						191	0	-3	7688	1	0	
"Tonga"						193	0	-19	2264	1	0	
"Northern Mariana Islands"						195	0	4	12201	1	1.4	
"Palau"						196	0		3465	1	1.4	
"Comoros"						197	0	4	7884	0.63	0	
"Kiribati"						199	0	-44	4831	1	0	
"Honduras"						200	0	-64	1022	0.5	0	
"Guinea-Bissau"						202	0		13171	1	0	
