Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"France"	17312	19600	20913	11123	29185	51937	47647	52839	63925	65367	109580	96397	80559	73362	66292	58162	38535	31372	18648	26314	
"United Arab Emirates"	1788	4133	4523	3834	5076	5553	5284	4274	7026	12805	11635	6857	6242	6241	5132	10775	29625	37635	20447	21735	
"Slovenia"	999	1225	3100	1065	1197	1568	12699	2104	8687	8532	9599	4125	2765	6031	7188	7064	7445	9940	11325	20793	
"Austria"	6789	7219	16483	20738	20381	19554	19212	16118	12677	25160	19911	29959	23783	26157	24001	36041	20976	21905	16224	20049	
"Poland"	2272	5722	8538	6160	2126	624	12982	5084	3341	6385	9921	7354	3860	7013	9819	10274	11108	16423	11434	19274	
"Viet Nam"	74	1223	1458	1766	1042	875	1565	538	886	8817	2497	1449	3563	2208	3375	19967	7388	9245	15093	17069	
"Sri Lanka"	2095	2356	3165	5656	4839	4929	6112	6571	6657	8619	12184	11778	11767	13536	18248	19012	18707	19848	13117	15838	
"Malaysia"	2176	2288	3709	4970	8006	13231	20288	17917	20668	24419	19696	18737	19554	33613	39965	33343	31745	34638	14539	15502	
"Brazil"	430	609	444	323	429	1113	6538	4592	5147	7314	5394	2957	1481	2008	4965	5211	16167	9304	11286	10093	
"Türkiye"	40	74	622	466	939	932	1501	1025	11036	12017	2533	2941	2998	4951	4070	7249	7196	5854	5549	6685	
"Bangladesh"	17	34	9	48	172	148	152	218	144	411	626	1472	1155	1371	1335	6140	9074	8589	5440	5832	
"Portugal"	615	640	857	1118	1097	1755	1938	4462	3184	5405	4951	4234	6754	5129	4899	4787	5185	5751	4849	5545	
"Australia"	3688	3904	2731	1519	1968	3759	5778	5530	10196	21821	26962	52136	39771	44426	50752	67229	48446	38203	9898	4824	
"Chile"	2097	1577	3147	6569	6358	3781	3937	10214	3696	5158	1845	270	283	261	544	1562	4920	7270	15472	4615	
"Norway"	1871	3562	1880	1188	579	8434	17832	902	2619	2602	1932	9069	4988	4993	3248	3162	1197	1779	6616	4073	
"Hungary"	2526	6007	1087	6	454	2364	4773	2198	1550	2909	1932	4618	5030	4565	4533	5222	4820	6768	5038	3688	
"Switzerland"	4266	4759	4760	5762	6657	7859	9152	11212	13062	20739	26289	70761	94079	78346	104293	75049	4913	12413	4353	3002	
"Nepal"	3438	4438	3670	2164	1599	1938	1595	838	500	317	85	67	46	4	28	13	77	238	158	2291	
"New Zealand"	3431	3877	2873	1780	1592	917	13661	21920	22160	49234	73429	30913	29973	27268	28862	31981	31026	34994	7370	2028	
"Denmark"	511	587	819	1137	1227	1322	2128	420	432	1764	2977	407	588	767	447	753	867	735	2414	1742	
"South Africa"	7452	5438	2828	911	2748	989	2104	2069	3193	4991	5106	4649	5103	3939	5630	3213	5526	2993	2473	1713	
"Czech Republic"	43	133	168	255	610	1005	1292	453	2391	1920	2389	1705	2316	4765	1828	2754	2646	1001	937	1137	
"Iran, Islamic Republic of"	17	208	822	10	9	25	29	29	188	216	509	32	19	7	129	12	1	0	1	991	
"Israel"	454	609	186	117	155	242	291	490	1298	1223	1775	948	888	813	810	963	1019	1782	910	897	
"Philippines"	13247	5852	11829	18446	13447	11037	23321	28759	43825	42027	4249	1052	1277	906	837	960	702	255	267	701	
"Estonia"	120	84	263	1523	1761	254	191	3012	3269	439	689	1401	1881	3274	717	693	1341	891	496	553	
"Latvia"	0	0	0	0	0	16	0	0	0	0	5	2	13	0	1	0	7	2	9452	478	
"Saudi Arabia"	568	758	2240	4602	3146	1131	4957	10095	5767	6203	2260	865	540	798	1333	1863	1555	743	666	379	
"Bosnia and Herzegovina"	0	3	2	0	1	32	0	0	388	1545	2527	918	131	758	601	687	617	152	395	315	
"Malta"	0	0	0	0	0	0	0	0	0	38	39	84	15	0	2	0	1	2	578	291	
"Ukraine"	4605	60	371	464	406	578	812	406	502	579	205	91	4	30	161	396	468	191	51	288	
"Greece"	11	248	81	285	112	47	619	86	95	26	367	34	37	52	61	93	58	21	88	268	
"Oman"	10	13	1	6	1	17	307	489	995	1384	3349	5274	963	1100	825	3559	3953	1206	157	203	
"Croatia"	0	0	0	2	1	0	0	0	419	70	372	100	72	10	0	14	338	0	149	162	
"Ireland"	99	25	39	254	94	23	833	1110	298	174	360	388	225	103	79	69	197	611	91	156	
"Bulgaria"	7	39	54	1573	3183	3283	3667	7	447	1932	58	2187	2332	1186	1124	1048	391	131	107	155	
"Tunisia"	0	17	0	0	0	0	420	1	53	2	33	1	8	14	35	99	47	82	53	151	
"Korea, Democratic People's Republic of"	446	0	64	0	1688	1403	193	41	559	824	0	566	659	622	519	511	0	12	0	114	
"Dominican Republic"	0	0	3	3	0	6	14	0	11	19	0	0	65	28	31	35	2	14	14	106	
"Egypt"	3	0	37	55	89	76	42	54	105	258	228	37	47	47	24	27	72	28	29	99	
"Colombia"	23	14	25	15	131	160	60	104	157	460	0	1	0	0	0	0	7	18	0	87	
"Namibia"	0	0	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	
"Mexico"	18	33	18	79	1	36	164	277	978	2045	1787	767	1068	827	803	297	289	117	59	72	
"Area Nes"	1697	1400	1254	235	1438	2070	1560	4394	1859	10640	1016	436	148	85	204	387	472	201	137	54	
"Costa Rica"	0	0	0	0	0	0	0	0	0	92	27	0	56	55	52	46	55	63	46	48	
"Luxembourg"	0	0	2	0	1	13	1	20	142	58	727	289	9	151	65	135	71	12	23	48	
"Morocco"	0	1	0	4	0	0	6	1	63	185	121	23	64	120	52	69	40	32	11	46	
"Lebanon"	5	76	305	31	99	108	83	38	54	121	63	13	31	13	16	807	927	489	0	34	
"Romania"	10	48	469	1464	248	170	2827	551	105	57	125	23	35	61	55	222	187	376	15	32	
"Kuwait"	144	50	131	1040	2468	2964	2211	1020	1272	1232	1639	1321	1032	703	167	550	268	213	53	31	
"Lithuania"	0	0	0	0	0	0	0	0	0	12	85	1	4	0	2	13	85	82	11	29	
"Djibouti"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	
"Guatemala"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	22	27	7	0	0	22	
"Honduras"	1	0	0	0	500	3	3	0	0	24	48	0	0	2	0	4	0	6	1	22	
"Trinidad and Tobago"	0	0	0	1	17	0	0	0	0	0	0	0	8	0	20	0	0	8	16	19	
"Qatar"	8	10	13	36	19	44	40	46	278	517	689	81	99	45	86	26	35	34	22	16	
"Argentina"	487	14	11	21	59	18	12	23	175	263	48	0	14	24	19	279	8	4	19	12	
"El Salvador"	0	0	0	51	64	27	0	0	58	29	0	0	2	11	0	0	0	0	0	12	
"New Caledonia"	0	0	0	0	0	4	0	0	13	0	12	0	1	5	0	0	0	0	0	11	
"Panama"	0	0	0	3	0	0	0	0	0	7	4	0	0	21	8	31	31	35	0	11	
"Mauritius"	1	1	1	19	26	16	76	10	36	7	1	8	26	21	22	24	21	40	1	10	
"Bahrain"	51	53	52	65	24	34	39	37	62	23	56	95	68	91	65	51	35	19	18	9	
"Cyprus"	25	17	184	156	87	4	2	5	0	57	114	7	55	1	0	0	0	6	22	8	
"Libya, State of"	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1	18	1	0	0	7	
"Curaçao"	0	0	0	0	0	0	0	0	0	49	133	2	120	531	504	214	102	72	16	7	
"Nicaragua"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	
"Bhutan"	0	3	0	1015	23	0	0	0	620	0	0	0	0	4	0	0	0	0	362	4	
"Ecuador"	0	130	81	33	8	31	46	0	48	80	330	17	16	11	18	0	0	0	0	4	
"Fiji"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
"Georgia"	65	160	14	79	0	98	487	36	2846	352	2	31	0	0	164	130	0	9	27	4	
"Eswatini"	0	0	0	0	94	109	147	34	10	26	1378	1343	57	0	7	31	2	0	0	4	
"Venezuela, Bolivarian Republic of"	70	0	0	0	1	0	0	0	17	1	70	11	151	72	22	43	108	260	6	4	
"Togo"	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	3	
"Belarus"	0	0	0	0	4	1	0	12	230	16	14	99	15	47	271	2	1738	80	1	1	
"Benin"	0	0	0	0	0	0	0	0	29	629	14	0	0	12	0	0	0	0	0	1	
"Nigeria"	489	814	24	0	6	0	0	0	319	288	13	1	0	0	0	0	0	0	1	1	
"Congo"	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	
"Côte d'Ivoire"	0	6	0	0	0	0	0	41	340	336	37	0	0	0	0	0	0	0	0	0	
"Jordan"	28	1	3	1	0	40	16	1	35	80	78	14	2	0	1	1356	1194	351	8	0	
"Kenya"	76	1	142	2	2	5	140	2	77	185	196	14	39	95	7	5	0	6	1	0	
"Kyrgyzstan"	0	0	104	1	0	3	0	0	0	0	25	0	0	0	0	0	0	0	0	0	
"Maldives"	0	0	0	3	0	0	0	0	0	6	5	1	0	0	3	4	0	3	0	0	
"Peru"	0	1	0	0	0	0	0	2	0	11	10	6	165	18	58	0	0	0	0	0	
"Serbia"	0	0	0	0	0	0	0	0	3	5	0	0	0	0	18	0	13	0	0	0	
"Seychelles"	0	0	0	0	17	0	0	0	0	83	0	0	0	1	0	0	0	1	1	0	
"Sierra Leone"	0	24	1	0	1	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	
"Slovakia"	0	0	0	35	0	0	1196	0	82	37	74	12	6	7	43	1	53	5	0	0	
"Tanzania, United Republic of"	0	2	0	0	101	317	85	35	20	604	162	0	22	0	0	0	0	0	0	0	
"Zambia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"British Virgin Islands"	0	0	0	0	0	0	0	0	11	0	17	0	0	0	0	2	6	2	0		
"Chad"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		
"French Southern and Antarctic Territories"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0		
"Nauru"	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Norfolk Island"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	28	7	0		
"Northern Mariana Islands"	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	8	0	0	0		
"Marshall Islands"	0	0	0	0	0	0	3	0	0	0	29	0	1	0	68	0	0	5	0		
"Saint Pierre and Miquelon"	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Somalia"	112	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0		
"Tokelau"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		
"Turkmenistan"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"United States Minor Outlying Islands"	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	278	0	0	0		
"Afghanistan"	2	0	3	12	1	0	0	4	0	2	9	0	0	0	0	0	0	0	0		
"Albania"	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	0	6		
"Algeria"	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	1	0	0		
"Andorra"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
"Angola"	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0		
"Antigua and Barbuda"	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0		
"Azerbaijan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4		
"Bahamas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	10	0		
"Armenia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9		
"Barbados"	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Bermuda"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0		
"Bolivia, Plurinational State of"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0		
"Belize"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0		
"Brunei Darussalam"	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Myanmar"	61	0	0	0	0	0	0	0	0	518	402	4	0	0	0	0	0	0	0		
"Cambodia"	0	0	1	10	0	0	0	2	0	15	3	2	0	1	2	0	29	1	8		
"Cameroon"	0	0	0	0	0	0	0	0	82	4	0	0	0	0	0	0	1	0	0		
"Cayman Islands"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0		
"Comoros"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Congo, Democratic Republic of the"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0		
"Dominica"	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Ethiopia"	0	0	77	0	1	0	3	4	1	4	129	15	11	20	22	10	2	0	0		
"Gabon"	27	0	0	0	0	0	0	1	0	0	5	0	10	0	0	0	0	0	0		
"Gambia"	0	25	133	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0		
"Ghana"	0	0	0	0	0	0	0	0	646	484	165	0	9	0	0	0	0	0	0		
"Grenada"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
"Guinea"	0	0	0	0	0	0	0	0	9	4	16	0	0	0	1	0	0	0	0		
"Haiti"	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0		
"Iceland"	5	57	0	0	4	0	0	0	0	2	0	0	279	0	15	0	0	0	0		
"Iraq"	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0		
"Jamaica"	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	8	0	7	0		
"Kazakhstan"	11	0	0	0	0	0	0	0	0	355	32	3	4	6	3	6	3	4	1		
"Lao People's Democratic Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Liberia"	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0		
"Macao, China"	0	0	0	0	0	0	0	0	0	1	14	4	0	0	25	62	0	48	30		
"Madagascar"	0	0	2	0	0	0	3	0	0	5	5	0	0	0	0	0	0	0	0		
"Malawi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Mali"	0	0	0	19	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0		
"Mongolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Moldova, Republic of"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Mozambique"	0	0	0	0	1	0	0	0	0	519	5	0	0	0	0	0	0	0	0		
"Netherlands Antilles"	0	0	0	0	15	1	8	0	6	0	0	0	0	0	0	0	0	0	0		
"Vanuatu"	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Niger"	0	210	0	31	39	0	0	0	0	0	5	0	0	5	0	3	0	0	0		
"Pakistan"	0	0	0	23	37	51	22	86	339	226	327	188	17	444	88	501	621	78	0		
"Papua New Guinea"	0	0	0	0	0	3753	0	0	0	14	14	0	0	0	0	0	0	0	0		
"Paraguay"	0	0	0	0	0	0	0	0	0	0	33	1	0	0	0	0	0	0	0		
"Guinea-Bissau"	0	0	0	0	0	0	0	0	56	237	27	0	0	0	0	0	0	0	0		
"Sao Tome and Principe"	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Senegal"	0	82	0	0	0	12	0	0	0	52	0	0	1	1	0	0	0	0	2		
"Zimbabwe"	25	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0		
"Sudan"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		
"Sudan (before 2012)"	30	221	0	0	2	50	0	0	59	50	0	0	0	0	0	0	0	0	0		
"Suriname"	5	43	0	0	20	0	0	19	1	0	0	0	9	0	4	5	0	0	0		
"Syrian Arab Republic"	0	0	9	0	0	1	0	0	0	38	18	0	0	4	3	0	0	0	0		
"Turks and Caicos Islands"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0		
"Uganda"	0	0	0	0	1	0	0	0	0	572	15	0	0	0	0	1	16	0	0		
"Macedonia, North"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Burkina Faso"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Uruguay"	0	9	6	4	0	0	0	0	0	45	7	0	31	0	0	0	282	34	0		
"Uzbekistan"	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	1	2	5	0		
"Samoa"	0	0	0	7	0	0	0	0	0	0	7	0	0	11	231	0	6	0	0		
"Yemen"	0	0	0	0	0	0	0	1	0	12	37	0	0	19	0	0	0	0	0		
"Serbia and Montenegro"	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
