Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"Mexico"	15595	860893	0.4	39	-52	24	1.3	30	2116	0.65	9	
"Romania"	15159	-15159	0.4	22	47	31	0.6	15	1846	0.08	11.3	
"Portugal"	12137	235952	0.3	4	-38	36	0.4	6	1614	0.28	11.3	
"Malaysia"	10422	-4682	0.2	8	395	23	1.3	22	4919	0.06	11.3	
"Czech Republic"	10129	-10004	0.2	7	77	27	1.1	9	731	0.15	11.3	
"Finland"	9317	50722	0.2	16	43	26	1.2	10	1958	0.14	11.3	
"Thailand"	8171	-4075	0.2	48	150	38	0.4	11	4149	0.07	11.3	
"Canada"	7711	322144	0.2	-28	-77	17	2	15	1897	0.8	11.3	
"Taipei, Chinese"	6575	64308	0.2	-21	-58	15	2.2	7	6168	0.06	11.3	
"Switzerland"	6493	10897	0.2	18	48	42	0.3	9	1022	0.25	11.3	
"Slovenia"	5686	3972	0.1	27	82	40	0.3	11	1072	0.1	11.3	
"Kazakhstan"	4813	-4813	0.1	6	34	30	0.7	12	5021	0.14	11.3	
"Singapore"	3975	207605	0.1	113	122	34	0.4	7	2185	0.17	11.3	
"Bolivia, Plurinational State of"	3486	205514	0.1	101	-45	111	0	23	1832	0.65	0	
"Oman"	2983	-2954	0.1	-2	116	32	0.6	64	5516	0.23	11.3	
"Ukraine"	2625	-2625	0.1	-18	-98	29	0.8	-10	2266	0.11	11.3	
"Poland"	2208	32082	0.1	15	130	22	1.5	13	979	0.12	11.3	
"Zambia"	2138	-2138	0.1		863	73	0.06	44	3229	0.19	11.3	
"Hungary"	1992	-1992	0	34	-64	35	0.4	7	702	0.12	11.3	
"Panama"	1801	-76	0		443	93	0.02	16	14738	0.4	8.1	
"Uruguay"	1424	76300	0	0	3412	129	0	23	2346	0.52	0	
"Slovakia"	1064	-594	0	3	2	28	1	11	520	0.13	11.3	
"Denmark"	798	24239	0	27	33	33	0.4	14	1396	0.11	11.3	
"Luxembourg"	704	4811	0	30	-41	39	0.4	0	1721	0.1	11.3	
"United Arab Emirates"	596	35444	0	-31	-32	41	0.3	16	6831	0.07	11.3	
"Latvia"	393	-393	0			66	0.08	1	1319	0.14	11.3	
"Colombia"	354	179917	0	-55	-83	92	0.02	-33	5468	0.23	2.1	
"Peru"	296	355824	0	1	1052	79	0.04	8	2606	0.37	0	
"Australia"	279	1035	0	-44	-93	43	0.3	3	8802	0.08	11.3	
"Bulgaria"	193	-134	0		-16	47	0.2	14	773	0.14	11.3	
"Brazil"	148	-148	0	19	-95	11	3	10	8740	0.2		
"Angola"	67	229	0		-61	148	0	18	4303	0.9	11.3	
"Albania"	41	-41	0		-98	65	0.08	30	2982	0.09	11.3	
"Belarus"	32	-32	0	-34	-100	68	0.07	-15	1340	0.12	11.3	
"Zimbabwe"	25	-25	0	-53	-88	60	0.1	7	9999	0.39	11.3	
"Ireland"	17	-15	0	95	-76	69	0.07	8	1662	0.44	11.3	
"Pakistan"	13	34274	0	59	-26	89	0.02	-23	7774	0.16	11.3	
"Curaçao"	9	-8	0	262		143	0	19		0.61		
"Estonia"	8	8381	0	-67	-82	64	0.09	12	1197	0.16	11.3	
"Cayman Islands"	7	-6	0			147	0	78	2103	0.5	11.3	
"Venezuela, Bolivarian Republic of"	1	9324	0	-89		53	0.2	49	9189	0.44	0	
"Uganda"	1	1	0			117	0	-5	506	0.58	11.3	
"Croatia"	1	0	0			61	0.10	25	853	0.27	11.3	
"Dominican Republic"		271518				55	0.1	17	8852	0.13	11.3	
"Ecuador"		80696				94	0.01	29	10624	0.18	2.3	
"Bangladesh"		73963				123	0	63	3077	0.32	11.3	
"Costa Rica"		67797				76	0.05	16	2428	0.14	11.3	
"Morocco"		38885				88	0.02	5	2560	0.14	11.3	
"Nigeria"		25156				116	0	3	985	0.66	11.2	
"Senegal"		12038				85	0.03	14	1155	0.18	11.3	
"Guatemala"		7037				57	0.1	22	8101	0.19	11.3	
"Trinidad and Tobago"		6169				52	0.2	11	4954	0.84	11.3	
"Jamaica"		3753				119	0	14	14835	0.52	11.3	
"Kenya"		3265				80	0.04	15	763	0.27	11.3	
"Israel"		3201				74	0.05	27	1815	0.54	0.6	
"Haiti"		2939				118	0	12	16070	0.8	11.3	
"Guyana"		1055				152	0	-6	11502	0.19	10.7	
"Congo, Democratic Republic of the"		978				104	0	107	9031	0.69	11.3	
"Sri Lanka"		932				140	0	-7	1827	0.41	11.3	
"Ghana"		649				101	0	5	930	0.3	11.2	
"Honduras"		580				83	0.03	22	1563	0.36	11.3	
"Greece"		307				49	0.2	11	1148	0.09	11.3	
"French Southern and Antarctic Territories"		246				202	0	17		1	11.3	
"Congo"		151				184	0	-52	3352	0.57	11	
"Saudi Arabia"		102				59	0.1	1	4164	0.14	11.3	
"Jordan"		98				90	0.02	31	817	0.22	11.3	
"Suriname"		86				144	0	24	14500	0.28	11.3	
"Liberia"		83									11.3	
"Cyprus"		78				102	0	21	1663	0.62	11.3	
"Algeria"		77				48	0.2	126	4236	0.19	11.3	
"Marshall Islands"		77				169	0	17	9335	0.32	11.3	
"Oceania Nes"		52										
"Malta"		48				121	0	33	1637	0.63	11.3	
"Falkland Islands (Malvinas)"		39				161	0	188	13200	0.83	11.3	
"El Salvador"		20				82	0.03	6	638	0.28	11.3	
"Fiji"		20				128	0	13	4189	0.17	10.9	
"Barbados"		15				137	0	19	6338	0.38	11.3	
"Bahamas"		13				135	0	3	14642	0.73	11.3	
"Nicaragua"		12				107	0	27	2666	0.21	11.3	
"Belize"		11				158	0	16	589	0.7	11.3	
"Bermuda"		10				214	0	90	2096	0.5	11.3	
"Mozambique"		7				98	0.01	61	8529	0.43	11.3	
"Saint Vincent and the Grenadines"		7				165	0	-31	473	0.3	11.3	
"Cuba"		6				127	0	-23	9444	0.35	5.9	
"Antigua and Barbuda"		6				174	0	-19	5663	0.66	11.3	
"Bahrain"		5				72	0.06	15	5445	0.13	11.3	
"Lebanon"		4				87	0.03	12	961	0.31	11.3	
"New Zealand"		3				71	0.06	-3	8515	0.12	11.3	
"Maldives"		3				145	0	26	1968	0.93	11.3	
"Sudan"		2				167	0	337		1		
"Lithuania"		1				54	0.2	16	1374	0.21	11.3	
"Bosnia and Herzegovina"		1				67	0.08	7	544	0.2	11.3	
"Qatar"		1				78	0.04	-23	6496	0.29	11.3	
"Côte d'Ivoire"		1				138	0	-21	1013	0.21	11.3	
"Mali"		1				183	0	-35	3710	0.72	11.3	
"Afghanistan"		1				194	0	15	7268	0.63	11.3	
"New Caledonia"						44	0.3	5	9092	0.48	11.3	
"Serbia"						46	0.2	6	592	0.09	11.3	
"Iran, Islamic Republic of"						51	0.2	-1	3003	0.16	11.3	
"Macedonia, North"						58	0.1	11	1365	0.07	11.3	
"Libya, State of"						62	0.09	41	1539	0.35	11.3	
"Georgia"						63	0.09	9	5332	0.29	11.3	
"Iceland"						70	0.07	17	4066	0.22	11.3	
"Armenia"						75	0.05	19	2834	0.6	11.3	
"Tunisia"						77	0.04	36	1422	0.27	11.3	
"Uzbekistan"						81	0.03	-18	2819	0.19	11.3	
"Philippines"						84	0.03	4	3512	0.15	11.3	
"Myanmar"						86	0.03	-8	2816	0.84	11.3	
"Azerbaijan"						91	0.02	33	1185	0.37	11.3	
"Rwanda"						96	0.01	64	1115	0.54	11.3	
"Kyrgyzstan"						97	0.01	23	845	0.51	11.3	
"Gabon"						99	0.01	2	7598	0.23	11	
"Kuwait"						100	0	33	3642	0.36	11.3	
"Benin"						103	0	12	4092	0.49	11.2	
"Burkina Faso"						105	0	24	674	0.31	11.3	
"Palestine, State of"						106	0	21	120	1	11.3	
"Bhutan"						108	0	-3	6312	0.56	11.3	
"Tanzania, United Republic of"						109	0	0	2504	0.22	11.3	
"Korea, Democratic People's Republic of"						110	0	-6	1484	0.83	11.3	
"Free Zones"						112	0	-15		0.66		
"Tajikistan"						113	0	73	316	0.97	11.3	
"Mauritius"						114	0	132	5124	0.93	11.3	
"Syrian Arab Republic"						115	0	654	596	0.98	11.3	
"Moldova, Republic of"						120	0	88	909	0.72	11.3	
"Equatorial Guinea"						122	0	33	2872	0.86	11	
"Yemen"						124	0	42	8407	0.95	11.3	
"Lao People's Democratic Republic"						125	0	154	660	0.97	11.3	
"Macao, China"						126	0	-14		0.6	11.3	
"Togo"						130	0	-14	1322	0.26	11.3	
"Malawi"						131	0	30	2716	0.25	11.3	
"Aruba"						132	0	28	12414	0.48	11.3	
"Montenegro"						133	0	-20	958	0.73	11.3	
"Botswana"						134	0	6	543	0.97	11.3	
"Burundi"						136	0	67	669	0.82	11.3	
"Brunei Darussalam"						139	0	-14	1084	0.44	11.3	
"Saint Helena"						141	0		7670	1	11.3	
"United States Minor Outlying Islands"						142	0	1		0.53	11.3	
"Papua New Guinea"						146	0	-4	4736	0.45	10.9	
"Sint Maarten (Dutch part)"						149	0	176		0.58		
"Andorra"						150	0	11	346	1	11.3	
"Djibouti"						151	0	197	719	0.92	11.3	
"Sierra Leone"						153	0	-10	5059	0.41	11.3	
"Iraq"						154	0	185	968	0.54	11.3	
"Pitcairn"						155	0			1	11.3	
"Gibraltar"						156	0	17	519	0.51	11.3	
"Cameroon"						157	0	16	2517	0.69	11	
"Niger"						159	0	51	736	0.46	11.3	
"Faroe Islands"						160	0	-12	1031	0.47	11.3	
"Samoa"						162	0	37	8465	0.81	11.3	
"Saint Lucia"						163	0	11	15559	0.37	11.3	
"Grenada"						164	0	30	15262	0.52	11.3	
"Eswatini"						166	0	-2	537	0.94	11.3	
"Lesotho"						168	0	30	369	1	11.3	
"Namibia"						170	0	-38	1368	0.99	11.3	
"Northern Mariana Islands"						171	0	-9	2983	0.87	11.3	
"Turks and Caicos Islands"						172	0	-26	5074	0.35	11.3	
"Greenland"						173	0	2	3388	1	11.3	
"Guinea"						175	0	-24	9010	0.53	11.2	
"Turkmenistan"						176	0	107	2031	0.72	11.3	
"Ethiopia"						177	0	-16	2569	0.4	11.3	
"Saint Kitts and Nevis"						178	0	-6	12094	0.36	11.3	
"Vanuatu"						179	0	-6	13289	0.69	10.9	
"Palau"						180	0	18	2836	0.5	10.9	
"Madagascar"						181	0	24	8346	0.71	11.3	
"Dominica"						182	0	-30	5415	0.32	11.3	
"Mongolia"						185	0	12	2152	0.99	11.3	
"Chad"						186	0		4553	0.86	11	
"Bonaire, Sint Eustatius and Saba"						187	0	197		0.59		
"Micronesia, Federated States of"						188	0	65	4291	0.97	10.9	
"Nepal"						189	0	158	4664	0.52	11.3	
"Seychelles"						190	0	5	3251	0.52	11.3	
"British Virgin Islands"						191	0	-29	7438	0.45	11.3	
"Cambodia"						192	0	-23	1973	0.45	11.3	
"French Polynesia"						193	0	-3	4591	0.94	11.3	
"Eritrea"						195	0	173	4930	1	11.3	
"Tonga"						196	0	0	7105	0.52	10.9	
"Tokelau"						197	0	-44	11419	0.32	11.3	
"Timor-Leste"						198	0	13	2751	0.45	11.3	
"Christmas Island"						199	0			1	11.3	
"Sao Tome and Principe"						200	0	-32	4543	0.76	11.3	
"Western Sahara"						201	0	86	9593	0.53	11.3	
"Anguilla"						203	0	-31	3490	0.86	11.3	
"Cocos (Keeling) Islands"						204	0	2		1	11.3	
"South Sudan"						205	0			0.83		
"Solomon Islands"						206	0	-18	5462	0.59	10.9	
"Central African Republic"						207	0	-14	810	1	11	
"Cook Islands"						208	0	-41	3206	1	11.3	
"Mauritania"						209	0	-80	4289	0.51	11.3	
"Ship stores and bunkers"						210	0	-49		1		
"Comoros"						211	0	-51	1877	1	11.3	
"Nauru"						212	0	-66	11055	1	11.3	
"Guinea-Bissau"						213	0		309	1	11.3	
"Wallis and Futuna Islands"						215	0	59	16867	1	11.3	
"Niue"						216	0	69	16170	1	11.3	
"Saint Pierre and Miquelon"						217	0	12	1828	1	11.3	
"Norfolk Island"						218	0	-68	17229	1	11.3	
