Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"Singapore"	60770	-53213	0.9	-3	15	6	3.5	5	7225	0.1	10.7	
"Israel"	52133	-47352	0.7	15	-13	20	1.2	12	7558	0.12	0.5	
"Netherlands"	52097	-32857	0.7	-3	-1	4	6.2	7	3106	0.06	10.7	
"Australia"	49926	-47857	0.7	1	28	30	0.6	3	11417	0.14	10.7	
"Costa Rica"	47095	-39026	0.7	2	40	22	0.9	16	5591	0.47	10.7	
"Taipei, Chinese"	45196	-44408	0.6	4	-4	14	2.5	3	3822	0.24	10.7	
"Romania"	43337	-43068	0.6	7	43	33	0.4	0	2009	0.15	10.7	
"Indonesia"	40719	-37385	0.6	33	105	44	0.1	10	7199	0.07	10.7	
"Poland"	39177	-36198	0.6	11	14	21	1	8	2947	0.09	10.7	
"Austria"	38581	-33388	0.5	-6	10	23	0.8	3	3382	0.08	10.7	
"Hungary"	33903	-33513	0.5	11	1	28	0.6	1	2204	0.14	10.7	
"Viet Nam"	32084	-31219	0.5	25	78	18	1.7	14	5128	0.25	10.7	
"Spain"	26565	-16084	0.4	3	-1	29	0.6	3	3306	0.07	10.7	
"Finland"	25301	-24689	0.4	-1	-8	32	0.5	1	5390	0.12	10.7	
"Belgium"	22664	-2232	0.3	6	-31	17	2	0	3016	0.06	10.7	
"Paraguay"	21861	-9435	0.3	12	7	83	0	-60	1648	0.72	0	
"Hong Kong, China"	19430	-18673	0.3	18	48	10	2.9	2	3597	0.36	10.7	
"Argentina"	16742	144620	0.2	-1	-56	92	0	-22	3604	0.2	0	
"Philippines"	15215	-13497	0.2	20	24	34	0.4	21	5782	0.09	10.7	
"Portugal"	14867	-12604	0.2	20	-6	35	0.3	8	2564	0.2	10.7	
"Dominican Republic"	12908	-9661	0.2	33	43	38	0.2	10	4064	0.69	10.7	
"Pakistan"	12525	-10410	0.2	9	35	50	0.08	8	9006	0.12	10.7	
"Estonia"	10678	-10566	0.2	41	44	48	0.09	4	3062	0.09	10.7	
"Slovenia"	10325	-10285	0.1	18	45	40	0.2	5	2536	0.08	10.7	
"Bulgaria"	9722	-9438	0.1	15	10	41	0.2	23	3937	0.14	10.7	
"Slovakia"	7755	-7663	0.1	15	-8	42	0.1	0	1986	0.06	10.7	
"Türkiye"	7226	-2749	0.1	9	8	37	0.2	15	3272	0.04	10.7	
"Colombia"	5187	28920	0.1	-16	-19	69	0.01	-6	3892	0.15	0	
"Greece"	5077	-4580	0.1	95	49	49	0.09	13	3521	0.06	10.7	
"Egypt"	3771	-1547	0.1	36	5	62	0.02	7	3783	0.06	10.7	
"Brazil"	3005	-3005	0	7	8	43	0.1	-3	7010	0.11		
"New Zealand"	2959	-2468	0	2	-66	46	0.09	9	12288	0.12	10.7	
"Chile"	2419	34414	0	38	31	59	0.02	18	7671	0.24	0	
"Serbia"	2378	-2243	0	296	249	54	0.04	12	1567	0.11	10.7	
"Iceland"	2363	-2361	0	-6	79	58	0.03	9	3695	0.31	10.7	
"Malta"	2143	-2100	0	22	-23	65	0.02	2	2885	0.11	10.7	
"Russian Federation"	2045	4219	0	8	43	51	0.08	-4	4106	0.14	10.7	
"Luxembourg"	1909	-1740	0	-6	1	57	0.03	-1	2356	0.07	10.7	
"South Africa"	1816	3818	0	0	-56	47	0.09	2	5381	0.05	10.7	
"Lithuania"	1784	-1706	0	51	-12	39	0.2	7	2652	0.06	10.7	
"Qatar"	1712	-1486	0	1067	2741	86	0	21	6140	0.15	10.7	
"Ukraine"	1702	-1437	0	57	120	61	0.02	20	2871	0.07	10.7	
"Uruguay"	1632	5186	0	-16	1	80	0	-19	8226	0.42	0	
"Tunisia"	1337	-1275	0	33	4	45	0.1	8	1951	0.36	10.7	
"Tajikistan"	1198	-1198	0			153	0	46	11509	0.67	10.7	
"Bangladesh"	1098	-815	0	-16	1456	64	0.02	1	7518	0.1	10.7	
"Latvia"	546	-510	0	64	209	52	0.06	12	2991	0.05	10.7	
"Sri Lanka"	489	-398	0	-13	34	66	0.01	9	9839	0.17	10.7	
"United Arab Emirates"	371	6462	0	22	-86	53	0.05	15	6097	0.08	10.7	
"Panama"	346	4807	0	31	880	76	0	-1	4620	0.13	7.9	
"Belarus"	329	-301	0	1	-9	60	0.02	0	2700	0.12	10.7	
"Croatia"	295	-204	0	-6	19	55	0.04	-3	1398	0.1	10.7	
"Morocco"	283	237	0	3	132	72	0	-1	2074	0.22	10.7	
"Jordan"	207	537	0	21	25	75	0	-14	3231	0.53	10.7	
"Mauritius"	127	-109	0	-17	4	73	0	4	8474	0.33	10.7	
"Curaçao"	110	-85	0	88	-1	114	0	-22		0.46		
"Peru"	80	22452	0	57	68	88	0	-3	3731	0.17	0	
"Lao People's Democratic Republic"	60	-59	0	-15		56	0.04	82	11254	0.38	10.7	
"Bosnia and Herzegovina"	58	30	0		-78	74	0	23	1303	0.35	10.7	
"Cambodia"	49	45	0	-57		103	0	12	8224	0.24	10.7	
"Macao, China"	46	-34	0	74	79	82	0	18		0.55	10.7	
"Lebanon"	39	122	0	-44	-52	95	0	-1	6760	0.12	10.7	
"El Salvador"	34	2628	0			112	0	2	2464	0.13	10.7	
"Suriname"	26	53	0			98	0	141	4032	0.23	10.8	
"Macedonia, North"	26	-8	0	58	152	85	0	12	999	0.16	10.7	
"Iran, Islamic Republic of"	25	541	0		-7	87	0	-1	6967	0.08	10.7	
"Georgia"	25	57	0	161	408	84	0	23	3018	0.05	10.7	
"New Caledonia"	22	-19	0			129	0	6	14304	0.32	10.7	
"Armenia"	21	107	0		-43	63	0.02	30	2132	0.72	10.7	
"Myanmar"	19	111	0	-11		67	0.01	-12	4052	0.17	10.7	
"Niger"	19	-19	0			145	0	14	2367	0.21	10.8	
"Samoa"	15	-14	0	32	-96	156	0	47	7796	0.42	10.7	
"Nepal"	6	32	0		-4	161	0	-18	6318	0.08	10.7	
"Seychelles"	5	4	0	84	-52	118	0	-9	9862	0.16	10.7	
"British Virgin Islands"	5	-3	0	7	-93	203	0	-42	12567	0.34	10.7	
"Madagascar"	5	-5	0	42	85	135	0	-11	7669	0.21	10.7	
"Ecuador"	3	8752	0			70	0.01	39	8796	0.11	0	
"Andorra"	3	-3	0	20	-2	93	0	8	673	0.61	10.7	
"Honduras"	2	1394	0			115	0	10	2237	0.19	10.7	
"Trinidad and Tobago"	2	231	0			100	0	-8	2687	0.21	10.8	
"Cyprus"	2	97	0	-69	-43	77	0	3	3075	0.22	10.7	
"Kenya"	2	97	0	-18	-84	79	0	25	1979	0.12	10.7	
"Afghanistan"	2	75	0	-4		171	0	-27	5469	0.16	10.8	
"Senegal"	2	62	0	15		116	0	29	4267	0.08	10.8	
"Uzbekistan"	1	2570	0			99	0	17	2130	0.27	10.7	
"Angola"	1	2212	0			113	0	-10	6967	0.22	10.7	
"Saudi Arabia"	1	1216	0			68	0.01	14	4953	0.15	10.7	
"Ethiopia"	1	22	0			143	0	-34	6184	0.29	10.7	
"Cameroon"	1	8	0	22		122	0	34	2870	0.46	11.1	
"Gabon"	1	3	0			162	0	-15	7763	0.25	11.1	
"Bermuda"	1	1	0			152	0	-10	2603	0.7	10.7	
"Eswatini"	1	-1	0	173		119	0	-9	10364	0.08	10.7	
"Korea, Democratic People's Republic of"	1	-1	0	-39		134	0	-43	8053	0.25	10.7	
"Bolivia, Plurinational State of"		13097				131	0	41	6345	0.11	0	
"Guatemala"		4871				78	0	3	2104	0.43	10.7	
"Guyana"		3336				111	0	56	4889	0.37	10.8	
"Venezuela, Bolivarian Republic of"		1674				158	0	-12	11415	0.26	0	
"Nicaragua"		1420				89	0	12	2911	0.71	10.7	
"Turkmenistan"		1168				186	0	-50	4872	0.16	10.7	
"Algeria"		1070				110	0	0	1719	0.26	10.7	
"Iraq"		578				124	0	31	3934	0.47	10.7	
"Kazakhstan"		548				96	0	8	2497	0.24	10.7	
"Mauritania"		525				178	0	0	5730	0.33	10.8	
"Nigeria"		414				159	0	117	5168	0.39	10.8	
"Mozambique"		354				127	0	46	8219	0.16	10.7	
"Yemen"		254				222	0	-22	6215	0.16	10.8	
"Sudan"		225				182	0	-23		0.14		
"Ghana"		222				108	0	15	3691	0.21	10.8	
"Kuwait"		218				102	0	7	4186	0.24	10.7	
"Mali"		202				120	0	41	4903	0.28	10.8	
"Tanzania, United Republic of"		200				154	0	-6	7149	0.12	10.7	
"Belize"		182				200	0	-57	10248	0.42	10.8	
"Kyrgyzstan"		156				109	0	17	2909	0.33	10.7	
"Oman"		149				101	0	15	5870	0.26	10.7	
"Marshall Islands"		119				172	0	42	12699	0.66	10.7	
"Liberia"		94				205	0	-16	4924	0.5	10.7	
"Azerbaijan"		83				97	0	0	3431	0.12	10.7	
"Benin"		83				160	0	43	3565	0.44	10.8	
"Cuba"		70				197	0	-41	6201	0.18	3.9	
"Albania"		62				104	0	-8	1591	0.25	10.7	
"Jamaica"		55				165	0	-8	3618	0.27	10.8	
"Libya, State of"		49				166	0	22	2144	0.22	10.7	
"Uganda"		48				151	0	-10	4575	0.15	10.7	
"Rwanda"		47				157	0	24	1643	0.26	10.7	
"Brunei Darussalam"		37				141	0	-9	5519	0.16	10.7	
"Bahrain"		36				106	0	4	5486	0.15	10.7	
"Mongolia"		35				155	0	-21	4347	0.15	10.7	
"Area Nes"		31										
"Moldova, Republic of"		29				81	0	-1	1599	0.1	10.7	
"Bahamas"		29				150	0	34	4692	0.41	10.7	
"Cabo Verde"		29				223	0		5268	1	10.8	
"Zambia"		27				133	0	3	3739	0.24	10.7	
"Côte d'Ivoire"		26				91	0	0	3466	0.16	10.8	
"Fiji"		14				126	0	3	4677	0.32	11.1	
"Congo, Democratic Republic of the"		13				164	0	13	6394	0.13	10.7	
"Aruba"		12				139	0	-5	6901	0.55	10.7	
"Congo"		11				121	0	34	7047	0.76	11.1	
"Montenegro"		10				125	0	49	5064	0.3	10.7	
"Cayman Islands"		10				147	0	4	2987	0.83	10.7	
"Equatorial Guinea"		9				90	0	159	2844	0.96	11.1	
"Barbados"		8				107	0	-20	3754	0.45	10.8	
"Namibia"		7				132	0	-2	4920	0.29	10.7	
"Zimbabwe"		7				173	0	13	7008	0.12	10.7	
"Syrian Arab Republic"		6				185	0	-14	3874	0.28	10.7	
"Bhutan"		6				213	0	-16	4603	0.63	10.7	
"Antigua and Barbuda"		6				214	0	-27	3392	0.63	10.8	
"Maldives"		6				217	0		3559	0.49	10.7	
"Haiti"		5				168	0	126	5815	0.81	10.8	
"Guinea"		5				169	0	23	8115	0.18	10.8	
"Papua New Guinea"		4				123	0	-20	8212	0.34	11.1	
"Burkina Faso"		3				149	0	19	4278	0.13	10.8	
"Dominica"		3				170	0	-14	8943	0.16	10.8	
"Togo"		2				140	0	48	4712	0.27	10.8	
"Grenada"		2				179	0	21	4287	0.68	10.8	
"Saint Vincent and the Grenadines"		2				193	0	4	2823	0.48	10.8	
"Turks and Caicos Islands"		2				206	0	-20	8996	0.49	10.7	
"French Polynesia"		1				137	0	10	15056	0.74	10.7	
"Botswana"		1				148	0	6	2273	0.62	10.7	
"Timor-Leste"		1				167	0		3527	0.99	10.7	
"Central African Republic"		1				215	0	575	3450	0.43	11.1	
"Sao Tome and Principe"		1				228	0	-76	4615	1	10.7	
"Ship stores and bunkers"						71	0.01	-18		0.94		
"Pitcairn"						94	0	360		0.98	10.7	
"Saint Kitts and Nevis"						105	0	-9	5622	0.35	10.8	
"French Southern and Antarctic Territories"						117	0	21		0.64	10.7	
"Sierra Leone"						128	0	25	6324	0.16	10.8	
"Malawi"						130	0	67	2789	0.57	10.7	
"United States Minor Outlying Islands"						136	0	5		0.17	10.7	
"Christmas Island"						138	0	227		0.44	10.7	
"Gibraltar"						142	0	-4	11114	0.84	10.7	
"Greenland"						144	0	7	3401	0.79	10.7	
"Faroe Islands"						146	0	28	1156	0.35	10.7	
"Bonaire, Sint Eustatius and Saba"						163	0	3		0.95		
"Free Zones"						174	0	-65		0.32		
"Cook Islands"						175	0	24	15611	0.85	10.7	
"Nauru"						176	0	-8	9250	0.23	10.7	
"Gambia"						177	0	-1	4113	0.35	10.8	
"Djibouti"						180	0	25	5889	0.23	10.7	
"Falkland Islands (Malvinas)"						181	0	45	13624	0.61	10.7	
"Burundi"						183	0	-33	6478	0.52	10.7	
"Tokelau"						184	0	2	15543	0.15	10.7	
"Anguilla"						187	0	31	6688	0.46	10.7	
"Saint Helena"						188	0	-21	8163	0.34	10.7	
"Vanuatu"						189	0	27	7483	0.39	11.1	
"British Indian Ocean Territory"						190	0	-16		0.89	10.7	
"Saint Lucia"						191	0	-7	1437	0.49	10.8	
"Chad"						192	0	-28	6687	0.2	11.1	
"Sint Maarten (Dutch part)"						194	0	2		0.38		
"Solomon Islands"						195	0	-30	10436	0.34	11.1	
"Cocos (Keeling) Islands"						196	0	-1		0.54	10.7	
"Montserrat"						198	0	-18		0.24	10.7	
"Somalia"						199	0	54	9108	0.37	10.7	
"Wallis and Futuna Islands"						201	0	27	9291	0.91	10.7	
"Kiribati"						202	0	-20	9332	0.47	11.1	
"Saint Pierre and Miquelon"						204	0	-18	5963	0.62	10.7	
"Palau"						207	0	57	12239	0.67	11.1	
"Micronesia, Federated States of"						208	0	0	10804	0.54	11.1	
"Tonga"						209	0	16	7161	0.53	11.1	
"Palestine, State of"						210	0	102	4814	0.31	10.7	
"Niue"						211	0	-33	14608	0.23	10.7	
"Eritrea"						212	0	12	5320	0.28	10.7	
"Lesotho"						216	0	-5	9537	0.38	10.7	
"Northern Mariana Islands"						218	0	-2	11974	0.24	10.7	
"Tuvalu"						219	0	-13	14744	0.36	10.7	
"Norfolk Island"						220	0	-11	14645	0.32	10.7	
"Western Sahara"						221	0	-5	12200	0.51	10.7	
"South Sudan"						224	0	32		0.56		
"Guinea-Bissau"						225	0	-46	3919	0.76	10.8	
"Comoros"						226	0	-17	9728	0.56	10.7	
"Neutral Zone"						227	0	-34		1		
