Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"Algeria"		156				131	0	1	8019	0.55	17.8	
"Haiti"		153				94	0	225	2918	1	17.8	
"Sao Tome and Principe"		150				219	0	-33	2016	0.56	17.8	
"Libya, State of"		141				208	0	66	2916	0.28	17.8	
"Guinea-Bissau"		133				222	0	1	3407	0.68	17.8	
"Cayman Islands"		125				155	0	-28	6647	0.49	17.8	
"Barbados"		114				120	0	-30	1123	0.14	17.8	
"Guinea"		110				169	0	-8	5648	0.17	17.8	
"United States Minor Outlying Islands"		99				160	0	-14		0.24	17.8	
"Bermuda"		94				188	0	9	3513	0.47	17.8	
"Sudan"		75				206	0	-13		0.22		
"Papua New Guinea"		72				165	0	-7	12954	0.55	17.7	
"Mauritania"		72				175	0	19	2502	0.24	17.8	
"New Caledonia"		63				139	0	-10	12441	0.43	17.8	
"Togo"		49				106	0	-4	1330	0.22	17.8	
"Djibouti"		49				187	0	12	2518	0.31	17.8	
"Lebanon"		46				78	0	8	5126	0.08	17.8	
"Timor-Leste"		43				177	0		12058	0.13	17.8	
"Fiji"		42				117	0	-16	1865	0.13	17.7	
"Georgia"		40				108	0	-30	4666	0.19	17.8	
"Niger"		30				178	0	-38	1478	0.29	17.8	
"Malawi"		29				123	0	39	2992	0.28	17.8	
"Belize"		25				159	0	15	3476	0.3	17.8	
"Ethiopia"		24				125	0	-18	4990	0.1	17.8	
"Turkmenistan"		20				152	0	13	1209	0.29	17.8	
"Iraq"		20				166	0	6	2677	0.29	17.8	
"Marshall Islands"		20				168	0	43	10828	0.45	17.8	
"Grenada"		20				185	0	27	3182	0.33	17.8	
"Malta"		17				124	0	-12	1943	0.19	17.8	
"Jordan"		16				73	0.01	-2	1803	0.2	17.8	
"Saint Vincent and the Grenadines"		15				203	0	-17	5848	0.16	17.8	
"Dominica"		12				196	0	-14	9216	0.21	17.8	
"Cambodia"		9				34	0.3	59	13680	0.9	17.8	
"Samoa"		8				167	0	-3	10490	0.69	17.8	
"Seychelles"		7				174	0	-24	8250	0.55	17.8	
"Cyprus"		4				83	0	6	2650	0.04	17.8	
"Armenia"		1				84	0	-3	1985	0.48	17.8	
"Rwanda"		1				103	0	4	985	0.68	17.8	
"British Virgin Islands"		1				145	0	-15	7020	0.3	17.8	
"Antigua and Barbuda"		1				161	0	17	3997	0.35	17.8	
"Faroe Islands"		1				172	0	10	1272	0.3	17.8	
"Luxembourg"						66	0.02	-2	543	0.18	17.8	
"Lao People's Democratic Republic"						82	0	-12	5415	0.39	17.8	
"Iran, Islamic Republic of"						86	0	-5	2812	0.16	17.8	
"Kazakhstan"						88	0	34	3324	0.27	17.8	
"Kyrgyzstan"						89	0	32	1319	0.42	17.8	
"Free Zones"						95	0	-31		0.98		
"Azerbaijan"						98	0	38	3087	0.13	17.8	
"Central African Republic"						107	0	275	4797	0.97	17.8	
"Gibraltar"						111	0	0	2076	0.95	17.8	
"Mongolia"						112	0	10	6921	0.09	17.8	
"Sierra Leone"						113	0	10	5667	0.25	17.8	
"Montenegro"						114	0	27	913	0.15	17.8	
"Iceland"						116	0	-5	3826	0.22	17.8	
"Burkina Faso"						127	0	-9	3093	0.09	17.8	
"Pitcairn"						128	0	128		1	17.8	
"Ship stores and bunkers"						129	0	166		0.62		
"Yemen"						132	0	117	8227	0.48	17.8	
"Uganda"						134	0	-21	2540	0.27	17.8	
"Burundi"						135	0	83	1025	0.9	17.8	
"Andorra"						136	0	-2	406	0.51	17.8	
"Palestine, State of"						137	0	4	585	0.91	17.8	
"Turks and Caicos Islands"						138	0	58	7235	0.4	17.8	
"Mali"						142	0	-5	3750	0.28	17.8	
"Benin"						143	0	-21	5144	0.17	17.8	
"Eswatini"						146	0	3	9307	0.28	17.8	
"Syrian Arab Republic"						150	0	-8	5212	0.12	17.8	
"French Polynesia"						154	0	25	10498	0.58	17.8	
"Tonga"						156	0	5	16999	0.98	17.7	
"Brunei Darussalam"						157	0	3	10595	0.33	17.8	
"Tokelau"						158	0	28	14128	0.42	17.8	
"Botswana"						163	0	-24	1786	0.6	17.8	
"Somalia"						170	0	63	1120	0.96	17.8	
"Tajikistan"						176	0	17	1115	0.68	17.8	
"Saint Lucia"						179	0	-23	195	0.69	17.8	
"Vanuatu"						180	0	12	12157	0.63	17.7	
"Anguilla"						181	0	-11	7545	0.63	17.8	
"Nauru"						182	0	83	13243	0.37	17.8	
"Micronesia, Federated States of"						183	0	116	11326	1	17.7	
"Solomon Islands"						189	0	22	14981	0.4	17.7	
"Afghanistan"						190	0	31	6627	0.15	17.8	
"Tuvalu"						191	0	29	10471	0.87	17.8	
"Greenland"						192	0	39	3400	0.93	17.8	
"Montserrat"						193	0	-17		0.85	17.8	
"French Southern and Antarctic Territories"						194	0	27		0.42	17.8	
"Sint Maarten (Dutch part)"						195	0	-32		0.82		
"Korea, Democratic People's Republic of"						198	0	-22	9715	0.25	17.8	
"Saint Kitts and Nevis"						199	0	5	3645	0.89	17.8	
"Saint Helena"						200	0	-24	7552	0.96	17.8	
"Chad"						201	0	11	3134	0.6	17.8	
"Falkland Islands (Malvinas)"						202	0	-3	12150	0.52	17.8	
"British Indian Ocean Territory"						204	0	3		1	17.8	
"Christmas Island"						205	0	-27		0.9	17.8	
"Niue"						207	0	40	10705	0.45	17.8	
"Kiribati"						209	0	138	14564	0.88	17.7	
"South Sudan"						210	0			0.55		
"Lesotho"						211	0	-29	1530	0.77	17.8	
"Saint Pierre and Miquelon"						213	0	44	2059	0.8	17.8	
"Cook Islands"						214	0	-4	12607	0.47	17.8	
"Northern Mariana Islands"						215	0	-17	12201	1	17.8	
"Comoros"						216	0	-18	7509	0.4	17.8	
"Bonaire, Sint Eustatius and Saba"						217	0	10		0.51		
"Bhutan"						218	0	-39	8904	0.22	17.8	
"Eritrea"						220	0	-38	4850	0.28	17.8	
"Norfolk Island"						221	0	-34	11695	1	17.8	
"Palau"						223	0	-16	12357	0.56	17.7	
"Wallis and Futuna Islands"						225	0	94	10876	1	17.8	
