Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"Mongolia"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
"Morocco"	3	20	0	0	0	0	0	0	0	268	37	6	0	1733	2329	2628	243	9	0		
"Namibia"	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0		
"Netherlands Antilles"	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0		
"New Caledonia"	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0		
"Niger"	0	0	0	0	0	0	6	0	0	0	1	0	0	0	14	0	0	0	0		
"Nigeria"	79	0	0	0	0	30	17	0	125	0	0	0	0	0	0	0	0	0	0		
"Pakistan"	0	0	0	0	0	0	0	0	0	65	3	0	0	0	0	0	0	0	0		
"Peru"	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0		
"Timor-Leste"	0	0	0	0	555	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Senegal"	0	0	214	16	0	18	1456	179	794	0	0	20	9095	0	0	0	0	0	0		
"Serbia"	0	0	0	0	0	49	0	0	0	0	0	0	0	0	5	0	0	0	0		
"Slovakia"	0	0	2	0	0	41	0	0	0	64	77	0	0	15	0	0	0	0	0		
"Zimbabwe"	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Sudan"	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0		
"Sudan (before 2012)"	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Suriname"	0	0	0	0	0	0	0	0	0	0	0	0	9766	27722	0	0	0	0	0		
"Eswatini"	0	0	0	0	0	0	2	6	0	163	7	294	554	23	71	3	6	0	0		
"Togo"	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0		
"Trinidad and Tobago"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0		
"Uganda"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0		
"Egypt"	0	0	0	0	0	0	0	1	21	23	58	0	0	0	0	0	0	0	0		
"Tanzania, United Republic of"	0	38	0	107	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Yemen"	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Serbia and Montenegro"	47	225	61	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Zambia"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		
