Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Germany's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Germany (%)	
"Syrian Arab Republic"	17	2089	0	0	-29	141	0	44	1468	0.3	0	
"El Salvador"	13	4742	0		-50	48	0.2	9	583	0.2	0	
"Zimbabwe"	11	697	0		267	101	0	-3	655	0.35	0	
"Costa Rica"	10	4874	0	-15	-17	60	0.08	16	1056	0.18	0	
"Namibia"	9	200	0		-36	147	0	-2	8691	0.51	0	
"Lao People's Democratic Republic"	9	-8	0	-17	350	44	0.2	594	2211	0.99	0	
"Bolivia, Plurinational State of"	8	3914	0			86	0.01	60	1702	0.37	0	
"Eswatini"	8	-7	0	100	-50	95	0	68	714	0.92	0	
"Somalia"	7	-7	0			98	0	509	6217	0.99	0	
"Qatar"	6	10962	0	-18	200	107	0	3	3741	0.24	0	
"Mongolia"	6	1424	0			169	0	57	6135	0.71	0	
"Armenia"	4	6695	0	-22	-50	111	0	38	1654	0.61	0	
"Uruguay"	4	1835	0		-33	83	0.01	-4	2506	0.23	0	
"Bahrain"	4	1413	0	7	100	137	0	-11	3274	0.26	0	
"Botswana"	4	343	0			155	0	-26	2341	0.62	0	
"Tajikistan"	4	20	0			138	0	1	362	0.76	0	
"Afghanistan"	4	-4	0		-20	160	0	34	4170	0.25	0	
"Tanzania, United Republic of"	3	8795	0			80	0.02	2	588	0.7	0	
"Nicaragua"	3	1132	0			110	0	-5	419	0.41	0	
"Macao, China"	3	85	0	16		123	0	-16		0.49	0	
"Faroe Islands"	3	41	0		-40	145	0	14	1825	0.77	0	
"Palestine, State of"	2	840	0			139	0	5	371	0.95	0	
"Tokelau"	2	1	0			164	0	47	12049	0.38	0	
"Eritrea"	2	-2	0			194	0	57	5858	0.61	0	
"Nigeria"	1	24949	0	-20		108	0	13	1713	0.22	0	
"Trinidad and Tobago"	1	9943	0			79	0.02	5	1213	0.15	0	
"Jamaica"	1	2939	0			131	0	-12	1290	0.47	0	
"Azerbaijan"	1	2611	0			125	0	17	904	0.54	0	
"Congo, Democratic Republic of the"	1	2562	0			189	0	21	4479	0.3	0	
"Cuba"	1	1841	0			184	0	-59	6307	0.56	0	
"Belize"	1	296	0			132	0	32	2401	0.21	0	
"Gabon"	1	198	0			162	0	-14	6574	0.35	0	
"Chad"	1	45	0			182	0	54	4277	0.71	0	
"Algeria"		61640				84	0.01	72	2219	0.27	0	
"Côte d'Ivoire"		33821				69	0.05	6	1431	0.16	0	
"Honduras"		21094				71	0.04	3	848	0.32	0	
"Kazakhstan"		18181				94	0	0	1176	0.49	0	
"Uzbekistan"		15411				77	0.03	55	1349	0.16	0	
"Sudan"		9850				153	0	3		0.49		
"Georgia"		8913				122	0	17	409	0.53	0	
"Andorra"		8542				104	0	21	351	0.93	0	
"Oman"		5578				114	0	8	4580	0.35	0	
"Senegal"		3808				92	0	15	2470	0.15	0	
"Ship stores and bunkers"		2922				165	0	-6		1		
"Ghana"		2859				88	0.01	30	615	0.27	0	
"Iraq"		2831				159	0	3	1498	0.78	0	
"Ethiopia"		2610				128	0	144	4779	0.44	0	
"Paraguay"		2350				76	0.03	33	1610	0.24	0	
"Uganda"		1949				97	0	3	550	0.45	0	
"Venezuela, Bolivarian Republic of"		1811				105	0	-26	2996	0.25	0	
"Kyrgyzstan"		1704				121	0	7	1219	0.48	0	
"Angola"		1668				142	0	77	2617	0.93	0	
"Libya, State of"		1478				179	0	63	1610	0.58	0	
"Mauritius"		1445				102	0	1	4180	0.33	0	
"Congo"		1360				205	0	-28	1908	1	0	
"Madagascar"		1124				112	0	-3	5879	0.31	0	
"Montenegro"		1096				118	0	22	1584	0.28	0	
"Turkmenistan"		997				119	0	116	2247	0.81	0	
"Yemen"		837									0	
"Barbados"		522				93	0	3	1733	0.09	0	
"Togo"		513				129	0	19	808	0.2	0	
"Bahamas"		448				212	0				0	
"Burkina Faso"		426				126	0	88	1014	0.57	0	
"French Polynesia"		367				192	0	-19	7879	0.23	0	
"Guyana"		352				171	0	-60	966	0.43	0	
"Haiti"		339				148	0	-10	1066	0.56	0	
"New Caledonia"		334				188	0	-2	11883	0.28	0	
"Suriname"		324				163	0	54	2102	0.3	0	
"Liberia"		306				211	0	48	6259	0.5	0	
"Guinea"		300				210	0	-73	4367	1	0	
"Niger"		294				207	0	-62	1209	1	0	
"Aruba"		269				177	0	-20	10036	0.56	0	
"Maldives"		175				203	0	65	1941	1	0	
"Mali"		137				135	0	94	9541	0.73	0	
"Benin"		97				151	0	1	2796	0.14	0	
"Mozambique"		90				113	0	11	942	0.96	0	
"Zambia"		84				106	0	26	2025	0.41	0	
"Gambia"		78				190	0	24	2365	0.94	0	
"Seychelles"		73				157	0	-30	6497	0.25	0	
"Malawi"		71				140	0	23	687	0.76	0	
"Mauritania"		62				173	0	-7	1066	0.77	0	
"Central African Republic"		45									0	
"Brunei Darussalam"		39				152	0	16	1172	0.64	0	
"Fiji"		38				99	0	2	2326	0.15	0	
"Saint Vincent and the Grenadines"		37				143	0	0	322	0.5	0	
"Gibraltar"		34				198	0	58	3381	0.34	0	
"Curaçao"		27				150	0	-5		0.22		
"Cayman Islands"		21				172	0	-22	6722	0.61	0	
"Sint Maarten (Dutch part)"		19				185	0	-11		0.75		
"Antigua and Barbuda"		17				167	0	39	310	0.36	0	
"Rwanda"		10				134	0	-18	2005	0.6	0	
"Cabo Verde"		10									0	
"Equatorial Guinea"		9				96	0	205	2803	1	0	
"Papua New Guinea"		8				161	0	24	4214	0.54	0	
"Burundi"		5				202	0	-35	603	0.33	0	
"Saint Lucia"		1				130	0	13	1378	0.24	0	
"Grenada"		1				133	0	-1	574	0.19	0	
"French Southern and Antarctic Territories"		1				206	0	-43		0.68	0	
"Vanuatu"		1				214	0	146	1094	1	0	
"Guinea-Bissau"		1									0	
"Free Zones"						100	0	-2		0.9		
"Pitcairn"						115	0	611		1	0	
"Lesotho"						127	0	-16	372	1	0	
"Korea, Democratic People's Republic of"						144	0	-49	11055	0.31	0	
"Comoros"						149	0	561	14655	1	0	
"Tonga"						154	0	48	15754	0.74	0	
"Djibouti"						156	0	-35	5404	0.46	0	
"Saint Helena"						158	0	33	8013	0.51	0	
"British Indian Ocean Territory"						166	0	204		0.34	0	
"Cook Islands"						168	0	184	16738	1	0	
"British Virgin Islands"						170	0	-10	2268	0.53	0	
"Anguilla"						174	0	-9	11567	0.59	0	
"Dominica"						175	0	-6	4783	0.48	0	
"United States Minor Outlying Islands"						176	0	-20		0.16	0	
"Saint Kitts and Nevis"						178	0	19	3559	0.82	0	
"Palau"						180	0	299	16446	1	0	
"Cocos (Keeling) Islands"						181	0	-12		0.45	0	
"Samoa"						183	0	11	15044	0.59	0	
"Marshall Islands"						187	0	-6	13590	0.6	0	
"Niue"						191	0	24	9084	0.94	0	
"Montserrat"						193	0	-26		1	0	
"Timor-Leste"						195	0		3361	0.5	0	
"Turks and Caicos Islands"						196	0	-13	6007	0.51	0	
"Christmas Island"						197	0	-17		0.81	0	
"Bermuda"						199	0	-7	4235	0.49	0	
"Norfolk Island"						200	0	39	16810	0.83	0	
"Bhutan"						201	0	206	8371	0.34	0	
"Bonaire, Sint Eustatius and Saba"						204	0			1		
"Nauru"						208	0	17	8495	0.52	0	
"Wallis and Futuna Islands"						209	0	101	9913	1	0	
"Western Sahara"						213	0	-7	3303	1	0	
