Exporters	Select your indicators-Value imported in 2022 (USD thousand)	Select your indicators-Trade balance 2022 (USD thousand)	Select your indicators-Share in Brazil's imports (%)	Select your indicators-Growth in imported value between 2018-2022 (%, p.a.)	Select your indicators-Growth in imported value between 2021-2022 (%, p.a.)	Select your indicators-Ranking of partner countries in world exports	Select your indicators-Share of partner countries in world exports (%)	Select your indicators-Total exports growth in value of partner countries between 2018-2022 (%, p.a.)	Select your indicators-Average distance between partner countries and all their importing markets (km)	Select your indicators-Concentration of all importing countries of partner countries	Select your indicators-Average tariff (estimated) applied by Brazil (%)	
"Uzbekistan"						78	0.02	40	2207	0.31	10.9	
"Armenia"						94	0	142	1809	0.86	10.9	
"Brunei Darussalam"						99	0	221	2142	0.53	10.9	
"Albania"						102	0	9	893	0.34	10.9	
"Lao People's Democratic Republic"						105	0	10	3138	0.48	10.9	
"Pitcairn"						106	0	467		1	11.2	
"Kyrgyzstan"						107	0	41	1018	0.53	10.9	
"Uganda"						109	0	38	5970	0.38	10.9	
"Sierra Leone"						110	0	141	3306	0.26	10.8	
"Moldova, Republic of"						113	0	22	1196	0.13	10.9	
"Papua New Guinea"						121	0	-11	5603	0.82	11.1	
"Fiji"						125	0	7	2847	0.1	11.1	
"Rwanda"						126	0	52	3573	0.83	10.9	
"Ship stores and bunkers"						127	0	30		1		
"Burkina Faso"						130	0	-47	1542	0.23	10.8	
"Korea, Democratic People's Republic of"						131	0	-31	6917	0.28	11.2	
"Namibia"						136	0	-4	9091	0.52	10.9	
"Nauru"						137	0	77	9639	0.57	11.2	
"Mali"						139	0	13	1324	0.76	10.8	
"Togo"						140	0	5	1069	0.58	10.8	
"Montenegro"						141	0	60	785	0.19	11.2	
"Benin"						142	0	31	1385	0.31	10.8	
"United States Minor Outlying Islands"						143	0	-1		0.17	11.2	
"New Caledonia"						144	0	-10	3371	0.78	11.2	
"Gambia"						145	0	89	4804	0.27	10.8	
"Andorra"						146	0	88	349	0.99	11.2	
"Afghanistan"						147	0	-9	8096	0.23	10.8	
"Seychelles"						152	0	-4	9835	0.28	10.9	
"Tokelau"						154	0	1	15392	0.33	11.2	
"Faroe Islands"						155	0	68	2309	0.24	11.2	
"Botswana"						156	0	36	1269	0.25	10.9	
"Burundi"						158	0	17	656	0.46	10.9	
"French Polynesia"						159	0	32	5922	0.66	11.2	
"British Virgin Islands"						161	0	-20	14664	0.36	11.2	
"Samoa"						162	0	107	8100	0.84	11.2	
"British Indian Ocean Territory"						164	0	55		0.69	11.2	
"Bonaire, Sint Eustatius and Saba"						167	0	65		1		
"Niger"						168	0	-50	1487	0.71	10.8	
"Malawi"						171	0	-20	1318	0.29	10.9	
"Dominica"						172	0	-5	1427	0.45	10.9	
"Djibouti"						173	0	55	4517	0.52	10.9	
"Guinea"						174	0	-25	4680	0.2	10.8	
"Mauritania"						179	0	-67	2554	0.44	10.8	
"Saint Helena"						180	0	-16	12799	0.85	11.2	
"Sint Maarten (Dutch part)"						182	0	11		0.93		
"Northern Mariana Islands"						184	0		14980	1	11.2	
"Niue"						185	0	-33	15935	0.92	11.2	
"Greenland"						186	0	50	5841	0.35	11.2	
"Palestine, State of"						187	0	1	112	1	11.2	
"Cocos (Keeling) Islands"						188	0			0.9	11.2	
"Lesotho"						190	0	-18	9331	1	10.9	
"Congo, Democratic Republic of the"						192	0	5	5230	0.27	10.9	
"Tuvalu"						195	0		10186	1	11.2	
"Christmas Island"						196	0			0.56	11.2	
"Turks and Caicos Islands"						197	0	-7	10109	0.39	11.2	
"Wallis and Futuna Islands"						198	0	32	15848	1	11.2	
"Falkland Islands (Malvinas)"						199	0	19	18305	1	11.2	
"Timor-Leste"						201	0	71	3477	1	11.2	
"Tajikistan"						202	0	13	254	1	10.9	
"Somalia"						203	0	56	5824	1	11.2	
"Tonga"						205	0		16098	1	11.1	
"Saint Pierre and Miquelon"						206	0	-66	3904	1	11.2	
"Montserrat"						207	0			1	11.2	
"Chad"						208	0	-14	4116	1	11.1	
"Solomon Islands"						209	0	-56	14912	1	11.1	
"Micronesia, Federated States of"						210	0	43	3322	1	11.1	
"Kiribati"						212	0				11.1	
"Bhutan"						213	0				10.9	
